[00:09.980 --> 00:10.980]  Oh, nice.
[40:01.300 --> 40:01.800]  Yeah.
[40:02.260 --> 40:03.140]  Do I still look high?
[40:03.220 --> 40:14.340]  You know, are there any maybe breeders or any specific genetics that you guys have seen
[40:14.340 --> 40:19.700]  or worked with that maybe haven't made it my way yet to the West Coast?
[40:19.700 --> 40:23.620]  We got, oh boy, he's rolling the fatty right there.
[40:23.620 --> 40:24.260]  What is that?
[40:26.980 --> 40:31.300]  Well, I was, you know, before you say that haven't made it your way, I had to retract
[40:31.300 --> 40:38.420]  because this is some awesome ganja rebel Dan, Natty Bumpo.
[40:38.420 --> 40:41.780]  I saw a pot of herb popped up on the comment there a few minutes.
[40:42.340 --> 40:46.580]  And I know he was growing the Natty Bumpo not too long ago, but this is some straight
[40:46.580 --> 40:46.980]  gas.
[40:48.340 --> 40:48.840]  Beautiful.
[40:53.380 --> 40:54.500]  Beautiful colors too.
[40:54.500 --> 40:55.780]  Beautiful, beautiful bag.
[40:56.340 --> 40:57.220]  Very much so.
[40:57.220 --> 41:00.100]  I believe it's the OOG Chem.
[41:00.900 --> 41:06.580]  I haven't smelled the yellow 5G sour, but everything that I've read about the OOG Chem,
[41:06.580 --> 41:08.260]  this seems to check those boxes.
[41:08.260 --> 41:10.980]  So definitely some fire too, man.
[41:10.980 --> 41:14.340]  Some stuff from the East Coast that you may not have seen that way.
[41:17.540 --> 41:22.420]  Yeah, I think maybe some Copa genetics or even some Cape.
[41:22.980 --> 41:27.370]  Hmm, Copa genetics.
[41:27.370 --> 41:32.090]  Cape Medic sun grown's got some acclimated beans and sticky rich.
[41:34.810 --> 41:35.850]  Yeah, definitely.
[41:37.130 --> 41:37.450]  Okay.
[41:38.090 --> 41:41.290]  And John, you're kind of nodding in agreement down there.
[41:41.290 --> 41:42.330]  You're like, yeah.
[41:42.330 --> 41:44.490]  Those, those are, you know, they're putting in work.
[41:44.490 --> 41:50.010]  They're really doing some, you know, climatizing these strains so that we, these cultivars
[41:50.010 --> 41:52.890]  so that, you know, they work here and finish.
[41:53.690 --> 41:56.490]  Dude, that is important.
[41:56.490 --> 42:00.490]  You know, you guys mentioned Dutch blooms earlier and I mentioned Pacific Northwest.
[42:00.490 --> 42:05.450]  He's, he's up in this, in this area and yeah, we've got a unique climate.
[42:05.450 --> 42:11.450]  Like I don't grow outside because really I can't with the environment that I have where
[42:11.450 --> 42:13.050]  I'm at, but he makes it work.
[42:13.050 --> 42:16.570]  And that is one of his things is he's, he's been looking for strains that will handle
[42:16.570 --> 42:17.130]  the PM.
[42:17.130 --> 42:20.810]  They're going to handle the, you know, 20 inches of September rain.
[42:21.290 --> 42:27.450]  Yeah, it's, it's, it's ridiculous, but you do, you gotta, you gotta do that.
[42:27.450 --> 42:31.770]  And that's cool that you guys not only are a working with like local soil.
[42:31.770 --> 42:38.410]  So that's kind of, you know, the, the, the local micro organisms in there, but also working
[42:38.410 --> 42:44.090]  with local breeders to find things that are going to strive and succeed in the outdoor
[42:44.090 --> 42:46.650]  environment, which is far less controlled.
[42:47.450 --> 42:52.970]  Do you guys have anything in particular you know, chef, you mentioned IPM a little bit
[42:52.970 --> 43:00.330]  earlier, but are there any, you know, sprays or organic tricks, anything that you do for
[43:00.330 --> 43:01.610]  an IPM regimen?
[43:05.860 --> 43:12.580]  So outside, not so much other than labs that I do like to spray on the plants during veg.
[43:13.300 --> 43:20.740]  That seems a little bit preventing PM from coming on and giving, giving the plants some
[43:20.740 --> 43:25.860]  good cells, cell strength and microbial inoculation there.
[43:26.580 --> 43:33.140]  But I also root drench it and inside I try not to spray anything on my plants and flower,
[43:33.780 --> 43:38.260]  but I will use something like Dr. Zimes.
[43:39.060 --> 43:39.560]  Okay.
[43:41.300 --> 43:47.300]  Or like Lost Coast Plant Therapy, there's ways to make all this stuff yourself as well.
[43:48.660 --> 43:54.420]  You get recipes online easily, something that you could find to save you some money instead
[43:54.420 --> 44:01.700]  of using these products, you could a recipe for a citrus ferment where you would ferment
[44:01.780 --> 44:12.100]  citrus peels and add some yeast and some vinegar after it's done.
[44:13.060 --> 44:19.060]  You can dilute that and that's essentially the same thing as like Dr. Zimes stuff that
[44:19.060 --> 44:22.100]  they're selling you for a lot more money than that.
[44:22.980 --> 44:29.220]  And the same thing goes for like Lost Coast Therapy that's also very expensive for a bottle
[44:29.220 --> 44:30.820]  at the store or online.
[44:31.380 --> 44:37.860]  You can make that yourself with either like a JWA, which is a KNF prep as your base or
[44:37.860 --> 44:39.380]  like a castile soap.
[44:40.100 --> 44:41.700]  And then you can add like peppermint oil.
[44:44.020 --> 44:48.740]  And a little isopropyl alcohol and some corn oil.
[44:49.380 --> 44:54.900]  The oil-based sprays though, again, I try not to spray anything at all in the flower,
[44:55.460 --> 45:00.020]  but if you're going to use an oil-based spray, I recommend using that only during the vegetative
[45:00.020 --> 45:00.900]  stage.
[45:00.900 --> 45:09.620]  That way the residues don't affect the taste of the flower or your turps with your trichomes
[45:09.620 --> 45:10.420]  or anything like that.
[45:11.220 --> 45:19.860]  So if you're going to use a different spray in flower, try to not use the oils and also
[45:19.860 --> 45:22.100]  try not to spray if you can.
[45:22.100 --> 45:26.180]  And the oils, you know, the oils will help suffocate things.
[45:26.180 --> 45:29.060]  I know Mammoth Pea had their kind of natural control.
[45:29.060 --> 45:39.140]  It was just a couple of different corn oils, a couple other oils, but the plant therapy,
[45:40.180 --> 45:41.460]  gosh, I forget the name of it now.
[45:42.820 --> 45:44.820]  But yeah, you know, that works the citrus peels.
[45:44.820 --> 45:45.300]  That's what I'm saying.
[45:45.300 --> 45:46.420]  The fermented citrus peels, limonene.
[45:46.420 --> 45:49.860]  The citric acid is the commonality in most of those products, you know.
[45:50.500 --> 45:54.180]  And then the vinegar would probably change the PM.
[45:54.180 --> 45:54.980]  Is it EPM?
[45:54.980 --> 45:55.460]  EPM.
[45:55.460 --> 45:55.860]  I'm sorry.
[45:56.660 --> 45:57.940]  We just met that guy too.
[45:59.460 --> 46:00.180]  I don't know if that's.
[46:01.140 --> 46:01.940]  EPM.
[46:01.940 --> 46:02.660]  It's like EDM.
[46:03.860 --> 46:06.260]  But it's all citric acid is the primary.
[46:06.260 --> 46:13.620]  Yeah, the vinegar with the PM, the big thing with the, it's just changing the environment
[46:13.620 --> 46:14.900]  of the surface of the leaf.
[46:14.900 --> 46:20.500]  So like the PM can't actually exist because it's not comfortable for it, right?
[46:21.620 --> 46:26.900]  And same for the bugs, like it's too volatile for their soft bodies to.
[46:27.460 --> 46:27.860]  Yeah.
[46:27.860 --> 46:36.020]  And then, you know, outside with the no spring, really a diverse like cover crop or soil area
[46:36.020 --> 46:41.300]  to where you have all these other like indigenous plants or, you know, whatever.
[46:41.300 --> 46:46.340]  I don't really identify the weeds that are growing up, but I allow them to prolate with
[46:46.340 --> 46:46.900]  my plants.
[46:47.620 --> 46:55.700]  Their roots go down really deep and create like, like I can chop the weeds and top dress
[46:55.700 --> 46:56.820]  and mulch that.
[46:56.820 --> 47:04.500]  But then the roots are going down and creating air pockets in the soil for microbes and worms
[47:04.500 --> 47:06.980]  and the roots to dig through.
[47:06.980 --> 47:08.500]  So great information.
[47:10.260 --> 47:18.020]  But there's all this like natural IPM going on in that cover crops and there's all these
[47:18.580 --> 47:19.140]  big bugs.
[47:20.660 --> 47:22.500]  Even the bad small bugs.
[47:24.100 --> 47:26.420]  Soil, soil, food, web action there.
[47:27.220 --> 47:32.660]  Arthropods go after the nematodes and the protozoa and those are going after the bacterias
[47:32.660 --> 47:33.380]  and the micro.
[47:34.740 --> 47:36.100]  How about you, John?
[47:36.100 --> 47:42.580]  What are you doing as far as any kind of like IPM in the garden, indoor or out?
[47:43.780 --> 47:49.540]  I've well, I've actually had really good luck indoors, but I kind of attribute it more or
[47:49.540 --> 47:52.100]  less to like, I don't really spray anything more.
[47:52.100 --> 47:57.300]  I used to do foliar sprays and teas and stuff like that.
[47:57.300 --> 48:01.380]  I don't even do that in veg anymore.
[48:02.100 --> 48:11.300]  Pretty much water in my teas, or top dress with really good biological compost and soon
[48:11.300 --> 48:16.020]  to be my new worm compost because like Coot always said, it's you're not growing mine
[48:16.020 --> 48:17.540]  because you don't have my vermicompost.
[48:17.540 --> 48:21.780]  It's all in the, so I can't wait just to put that into use because I know all those
[48:21.780 --> 48:27.700]  guys like Blue doing all the avocado tech and all this stuff that that's where all
[48:27.700 --> 48:32.020]  the magic is in all of these interactions that we can't even, or we're just learning
[48:32.020 --> 48:34.580]  to explain or understand or not even understanding.
[48:34.580 --> 48:40.340]  But just finally getting the technology to see and then another 10 years, there'll be
[48:40.340 --> 48:42.420]  better technology and we'll see even deeper.
[48:43.620 --> 48:46.820]  Like we all have problems from time to time and you deal with them.
[48:47.140 --> 48:52.580]  I stopped using neem, although only because people were saying, oh, you don't want to
[48:52.580 --> 48:53.060]  do that.
[48:54.660 --> 48:56.180]  So I stopped using that.
[48:57.140 --> 49:02.260]  I really do pretty much what the chef was just talking about with the citric acid, those
[49:02.260 --> 49:05.620]  type of approaches, but I really haven't had to do much.
[49:06.660 --> 49:14.660]  And I really, I guess where I got away from it was that I use a UV lighting and I'm so
[49:14.660 --> 49:20.420]  happy to see Wolf Siegel going to be at this organic cultivators because yeah.
[49:20.420 --> 49:21.540]  And mixed media lighting.
[49:21.540 --> 49:27.140]  So the CMH also like, I don't want to, I don't, I'm trying to be as conservative with
[49:27.140 --> 49:29.700]  the electricity because that's another part of this.
[49:29.700 --> 49:34.820]  That's why I'm really striving to get out under the sun because the sun is where all
[49:34.820 --> 49:40.100]  the phyto cannabinoids, all those metabolites, that's where everything is created in the
[49:40.900 --> 49:41.700]  best medicine.
[49:42.260 --> 49:48.900]  And so kind of trying to do biomimicry with lighting indoors.
[49:51.140 --> 49:57.140]  When you listen to like Bruce, Bruce Bugbee, he's really a knowledgeable and a mad respect
[49:57.140 --> 49:58.740]  and he's taught me so much.
[49:58.740 --> 50:03.940]  But then there's kind of like Wolf Siegel with like, kind of more like Steiner or more
[50:03.940 --> 50:07.380]  like, hey, these rays, these, these are all pieces of information.
[50:07.380 --> 50:11.060]  And if we're not giving it the real sun, then we're not giving it all the information.
[50:11.700 --> 50:18.180]  And, and I really do think, and I use, I even use like Hortalex bulbs, T5s for my veg.
[50:18.180 --> 50:22.740]  I've been using them for a long, long time and they have that SFV UV bulb in there.
[50:22.740 --> 50:29.780]  I swear to God that that cuts down on, you know, not just fungus and mold, but like it
[50:29.780 --> 50:33.700]  definitely cuts down on even like fungus gnats or other predators.
[50:33.700 --> 50:36.260]  Not saying I don't have them because you, you know.
[50:36.740 --> 50:37.700]  You're organic.
[50:37.700 --> 50:39.060]  It comes with the territory.
[50:39.700 --> 50:40.020]  Yeah.
[50:40.020 --> 50:44.660]  So I really have been, knock on my bench here.
[50:45.780 --> 50:49.060]  I've been, you know, but when you, you have to deal with things when they arise.
[50:49.060 --> 50:52.660]  And as soon as you see something, you need to deal with it, you know?
[50:52.660 --> 50:56.020]  And sometimes, sometimes the better thing is just to throw the whole plant out.
[50:58.180 --> 51:00.100]  Like this goes back to companion planting.
[51:00.100 --> 51:02.820]  I had all my beautiful cuts in there and I got thrips.
[51:02.820 --> 51:03.700]  I don't know how I got it.
[51:03.700 --> 51:04.740]  It was the middle of the summertime.
[51:04.740 --> 51:09.540]  I'm so careful taking my shoes off, taking my clothes off, all those things that, you know,
[51:09.540 --> 51:12.900]  I don't bring stuff from outside indoors like you, you know, I mean, these are all these
[51:12.900 --> 51:17.380]  things because it's like not worth it to me, you know, like you can fight it and you can
[51:17.380 --> 51:22.980]  probably be successful, but why set yourself up for, you already have inundated with all
[51:22.980 --> 51:24.900]  the things you need to do in your garden.
[51:24.900 --> 51:30.100]  So I had these thrips on all my little solo cups and I'm like, oh man, and I was fighting
[51:30.100 --> 51:31.140]  it and I was fighting it.
[51:31.140 --> 51:32.100]  And I was like, you know what?
[51:32.100 --> 51:33.940]  My next plants are going to be bigger in time.
[51:34.740 --> 51:35.700]  I'm putting them outside.
[51:35.700 --> 51:42.580]  So I put four just in the 16 ounce solo cups in 10 gallon containers and I flowered them
[51:42.580 --> 51:42.820]  out.
[51:43.700 --> 51:49.460]  I was actually figuring out which was my stronger cultivars because what, you know, I could
[51:49.460 --> 51:54.260]  actually see which one got the mold, which got, they were too close together, but they
[51:54.260 --> 51:56.980]  bloomed and then the thrips were gone.
[51:56.980 --> 52:02.260]  So there's something being said about like nature taking its course and eradicating things
[52:02.260 --> 52:02.740]  indoors.
[52:02.740 --> 52:06.100]  It was a problem because there wasn't enough natural predators.
[52:06.100 --> 52:09.140]  Once they went outside, I didn't have to spray them with anything.
[52:09.140 --> 52:12.260]  They cleaned up on their own just from being out in the yard.
[52:12.260 --> 52:16.980]  And the only reason I put them in four in a container is because I didn't want my girlfriend
[52:16.980 --> 52:19.460]  being like, yeah, now you've got all these plants outside.
[52:19.460 --> 52:22.660]  And they're going everywhere.
[52:22.660 --> 52:22.900]  Right.
[52:22.900 --> 52:24.180]  I got a harvest off of them.
[52:24.180 --> 52:29.380]  But the only reason that I was getting PM is because there was not enough airflow, but
[52:30.500 --> 52:31.620]  they came back.
[52:31.620 --> 52:32.500]  They look beautiful.
[52:32.500 --> 52:38.660]  And I was like, oh man, this is, you know, so but yeah, I know I use, I do buy nematodes
[52:40.260 --> 52:44.580]  and I really feel that that's another good thing to have in there.
[52:44.580 --> 52:46.180]  And it's not just for fungus gnats.
[52:46.180 --> 52:52.340]  It's for all the stuff that's, you know, larvae size or eggs and all that stuff.
[52:52.340 --> 52:56.980]  So I do buy nematodes and I've had really good luck.
[52:56.980 --> 53:02.660]  But I also I think it's also about clean practices and taking those extra precautions
[53:02.660 --> 53:04.980]  because those are where you get the hitchhikers.
[53:04.980 --> 53:08.820]  And that's probably what happens if you're wearing the same shoes that you wear outside.
[53:09.380 --> 53:10.340]  All these little things.
[53:10.340 --> 53:15.220]  I mean, it doesn't it only takes, you know, just like a couple.
[53:15.220 --> 53:20.020]  But I think that UV is a big, big part is a big part of what we're missing growing indoors.
[53:22.100 --> 53:25.620]  When I get home in the hallway, I have a little decontamination station.
[53:25.860 --> 53:32.100]  That way my garden doesn't get anything to work and work doesn't get anything to my garden.
[53:32.100 --> 53:36.260]  There's nothing in between and, you know, there's nothing to worry about at either place.
[53:36.260 --> 53:42.260]  But I want to make sure I keep it that way by just like you said, you strip down, make sure
[53:42.260 --> 53:47.860]  you get cleaned up and make sure there's no because you can't see everything and, you know,
[53:47.860 --> 53:49.300]  everybody's soil is different.
[53:49.300 --> 53:54.500]  So it's like there's, you know, different soil life everywhere.
[53:55.700 --> 54:01.540]  Yeah, but, you know, you said that, John, in addition to the those bulbs that, you know,
[54:01.540 --> 54:09.220]  a benefit of that other than, you know, helping combat against funguses or molds or even soft
[54:09.220 --> 54:13.700]  bodied insects is that it actually really helps harden plants off like.
[54:20.250 --> 54:22.490]  Yes, they were hardening the plants.
[54:22.970 --> 54:23.470]  OK.
[54:24.650 --> 54:25.150]  Yeah.
[54:25.150 --> 54:30.810]  So that UV like the sun has a lot of that, you know, and indoors, typically you don't
[54:30.810 --> 54:37.770]  see any of that, especially in vegetative like LED lights or regular fluorescent or,
[54:38.570 --> 54:41.290]  you know, whatever else somebody is using for a veg light.
[54:41.850 --> 54:49.370]  If it doesn't have that UVA or UVB into that fluorescent bulb with it, then the plant's not
[54:49.370 --> 54:50.970]  used to that when you're putting it.
[54:51.770 --> 54:53.050]  That really helps with that.
[54:54.490 --> 54:56.250]  The healthiest plant, the good stuff.
[54:56.970 --> 54:59.290]  It's old tech, but it's tried and true.
[55:00.250 --> 55:00.570]  Right.
[55:00.570 --> 55:04.890]  You know, lighting is one of those subjects that seems like it's that dead horse that
[55:04.890 --> 55:06.570]  has been beat to death because.
[55:08.090 --> 55:12.330]  It seems like it, but no, there's still so much to learn about lighting.
[55:13.370 --> 55:17.450]  And, you know, I'm just reading more lately, too, to your point about, you know, the outdoors
[55:17.530 --> 55:22.810]  is we're always trying to out, you know, mimic the outdoor, but about different spectrums.
[55:22.810 --> 55:26.170]  You know, I was asked a question about red and blues and I'm like, well, here's why they
[55:26.170 --> 55:30.490]  thought red and blues were good, because individually they promote this, they promote that
[55:30.490 --> 55:32.250]  monochromatic light doesn't work.
[55:32.250 --> 55:36.170]  So we're seeing like that white light, but we are from LEDs.
[55:36.170 --> 55:39.450]  We're really missing that UV spectrum.
[55:39.450 --> 55:40.970]  Don't want a ton of it.
[55:40.970 --> 55:44.330]  Don't need a powerful bulb or a powerful light necessarily.
[55:44.330 --> 55:49.210]  But I do think there is some magic that I don't know how to harness or haven't found
[55:49.210 --> 55:50.730]  how to harness indoors yet.
[55:51.850 --> 55:55.370]  So hopefully we'll see more R&D dollars going to that.
[55:55.370 --> 56:01.290]  And that is why, you know, I'm saying it maybe seems like a dead horse because we just keep
[56:01.290 --> 56:06.890]  learning because cannabis industry, there's now a lot of R&D dollars being spent by these
[56:06.890 --> 56:11.370]  commercial companies that had no motivation to advance the space.
[56:12.010 --> 56:12.970]  Why did they need to?
[56:13.690 --> 56:15.130]  Now everybody grows cannabis.
[56:15.130 --> 56:15.930]  So it's happening.
[56:17.850 --> 56:22.810]  And kind of, you know, on the cutting edge of things and a lot of these reports and a
[56:22.810 --> 56:29.050]  lot of these scientists, Harvard is a school that tends to do work with cannabis, not necessarily
[56:29.610 --> 56:35.770]  plant touching from what I understand, but they're able to organize different trials
[56:35.770 --> 56:36.810]  and clinics.
[56:36.810 --> 56:42.890]  And you two were actually recently at a, was it a science fair or what was it going on
[56:42.890 --> 56:43.210]  at Harvard?
[56:43.210 --> 56:44.970]  Maybe fill us in what you guys were up to.
[56:46.650 --> 56:47.450]  Go on, Shif.
[56:47.450 --> 56:48.010]  You can tell.
[56:49.610 --> 56:51.370]  I'm just in my basement.
[56:55.130 --> 57:02.090]  MCR Labs out of Massachusetts teamed up with the Cannabis Center for Excellence and hosted
[57:02.090 --> 57:07.690]  their, I believe it was their second or third annual Cannabis Science Fair at this year.
[57:07.690 --> 57:16.010]  It was Harvard University Science Center where they had a few speakers, I believe Dr.
[57:16.010 --> 57:26.570]  Stacey Gruber, who's a neuroscientist there, as well as Dr. Nick Johnson, who is a doctor.
[57:29.210 --> 57:31.210]  He was wearing some homemade tie-dye pants.
[57:31.210 --> 57:32.730]  So he, you know, he's a cool doctor.
[57:32.810 --> 57:38.090]  And he says everybody needs a hobby and he's just tie-dyeing pants.
[57:39.690 --> 57:41.210]  They're really rad.
[57:41.770 --> 57:46.810]  But yeah, there was also Dr. Miyabi Shields was there, shout out to Smoking All Day.
[57:47.530 --> 57:47.850]  Yeah.
[57:48.890 --> 57:49.610]  Smart lady.
[57:51.050 --> 57:51.370]  Yeah.
[57:51.930 --> 58:00.970]  They have the lung, they burn hemp and they have a patented lung that they catch the smoke
[58:00.970 --> 58:10.570]  from because when you're smoking, it's in your lungs is what they're extracting and
[58:10.570 --> 58:16.090]  catching and what they're finding are hundreds and hundreds of more cannabinoids in that
[58:17.450 --> 58:21.290]  than when it's on the exhale or before it goes into the inhale.
[58:22.250 --> 58:28.570]  So they collect this tar into this lung and then their extract is made from that and they
[58:29.370 --> 58:30.170]  put it into their.
[58:30.890 --> 58:32.250]  Yeah, it's amazing, actually.
[58:32.890 --> 58:37.930]  For anybody, any stoner that joked about scrape my lungs when I'm dead, dude,
[58:39.210 --> 58:40.250]  they're actually doing this.
[58:41.930 --> 58:44.010]  But it's interesting because we only test.
[58:44.010 --> 58:51.130]  It's great because we only test what goes in, you know, the bud, the cured flower.
[58:52.330 --> 58:53.690]  Or the concentrate gets tested.
[58:53.690 --> 59:00.170]  But we don't know what does that transform into and all the other synergies or agonists
[59:00.170 --> 59:05.050]  or antagonists or what are all these other complications, you know, and how it transforms,
[59:05.050 --> 59:10.090]  just like oxidation or just like, you know, transforming to see the end.
[59:10.090 --> 59:10.570]  What?
[59:10.570 --> 59:12.890]  So now it's really cool because that's what they're studying.
[59:12.890 --> 59:15.370]  Like, what is it really doing in our lungs?
[59:15.370 --> 59:16.970]  What's it doing once it's combusted?
[59:16.970 --> 59:20.810]  Nobody tested, you know, we always test it before all of that.
[59:20.810 --> 59:21.210]  Yep.
[59:21.210 --> 59:25.050]  And I'm glad that they're testing it that way, too, because, you know, again, it's what
[59:25.050 --> 59:28.650]  winds up in the blood system and breaks, you know, the blood brain barrier.
[59:28.650 --> 59:33.370]  That's important where it's connecting, you know, the CB1, CB2 receptors.
[59:33.370 --> 59:36.490]  But if you don't know what to look for, you're not going to find it.
[59:36.490 --> 59:38.730]  So it's interesting that they're studying it that way.
[59:38.730 --> 59:44.250]  But I'm also glad they're studying it from the inhalation method because a lot of tests
[59:44.250 --> 59:47.930]  don't do it that way because, again, smoking is bad.
[59:48.170 --> 59:51.530]  But they might find some good things.
[59:51.530 --> 59:56.010]  Anyways, it's the most commonly form of cannabis use or concentrate use.
[59:56.010 --> 59:56.970]  People are inhaling it.
[59:56.970 --> 59:59.450]  So I'm glad they're studying it that way.
[59:59.450 --> 01:00:04.810]  And yeah, with edibles, the chef probably knows this, but, you know, the Delta nine
[01:00:04.810 --> 01:00:06.250]  turns into Delta 11.
[01:00:06.250 --> 01:00:09.850]  It's something that only happens when it gets processed through your liver.
[01:00:09.850 --> 01:00:14.890]  So there probably are things and transformations that happen within the lung.
[01:00:14.890 --> 01:00:16.650]  That's freaking fascinating.
[01:00:16.650 --> 01:00:17.930]  Please continue on that.
[01:00:21.130 --> 01:00:26.570]  What her partner was saying is that smoking a joint is, you know, that's my favorite way
[01:00:26.570 --> 01:00:33.530]  to medicate out of, you know, bongs or bowls or I smoke rosin and dabs too.
[01:00:34.250 --> 01:00:36.250]  But I'll solve this.
[01:00:36.250 --> 01:00:38.970]  But smoking a joint is the most chemically diverse.
[01:00:38.970 --> 01:00:44.410]  And it was pinpointing the cherry and the heat always changing throughout it.
[01:00:44.410 --> 01:00:46.570]  And the resin going down in the heat.
[01:00:47.210 --> 01:00:49.770]  So all the different reactions happening.
[01:00:50.730 --> 01:00:56.650]  And when they tested, they collected roaches and tested all these roaches.
[01:00:56.650 --> 01:01:01.050]  And every time they have a booth set up, you can actually add it to their database.
[01:01:02.170 --> 01:01:04.010]  Every time they do a test, you find it.
[01:01:05.610 --> 01:01:10.970]  So, you know, when they were explaining this to me, it really started to make a little
[01:01:10.970 --> 01:01:13.370]  bit more sense why when I'm smoking a joint.
[01:01:14.570 --> 01:01:21.850]  You get so much more of a whole plant experience and a much more whole rather than
[01:01:24.090 --> 01:01:27.210]  or ingesting an edible.
[01:01:28.570 --> 01:01:33.290]  But, you know, the conversion that you were talking about with the Delta 9, it's really
[01:01:33.290 --> 01:01:42.730]  interesting because depending on how people metabolize their cannabinoids, depends on
[01:01:42.730 --> 01:01:45.850]  how people would want to uptake their edibles.
[01:01:45.850 --> 01:01:53.210]  Some people, they can't really eat it and ingest it down to their stomach.
[01:01:53.210 --> 01:01:56.170]  So they have trouble metabolizing it that way.
[01:01:56.890 --> 01:02:02.410]  So, you know, you could do more of a sublingual approach where you're eating a hard candy
[01:02:03.290 --> 01:02:08.090]  and you're uptaking it through your mouth, like under your tongue, you have all of these
[01:02:08.090 --> 01:02:11.530]  nerve endings and it absorbs really well through there.
[01:02:12.250 --> 01:02:15.450]  That's a way that people can consider medicating that way.
[01:02:16.890 --> 01:02:21.850]  Taking it down through your liver or metabolize it into your stomach really is the path.
[01:02:24.490 --> 01:02:26.570]  People really enjoy the nano.
[01:02:28.490 --> 01:02:31.850]  I'm still on the fence about science with that.
[01:02:31.850 --> 01:02:34.330]  You were talking about the blood brain barrier earlier.
[01:02:34.330 --> 01:02:40.410]  Well, that's essentially the nano is breaking the molecules down much smaller, right?
[01:02:40.490 --> 01:02:44.970]  Encapsulating them so they stay apart rather than come back together.
[01:02:45.530 --> 01:02:49.530]  That way they can break these barriers and travel much quicker.
[01:02:49.530 --> 01:02:58.810]  Yeah, it hits your body faster, but the delivery method for blood brain barrier medication,
[01:02:58.810 --> 01:03:01.370]  don't quote me, I'm not a doctor or anything like that.
[01:03:01.370 --> 01:03:02.730]  Please don't take your medication.
[01:03:04.090 --> 01:03:05.450]  Always consult your doctor.
[01:03:05.530 --> 01:03:08.650]  The science just isn't quite there yet for the safety.
[01:03:08.650 --> 01:03:22.970]  I am experienced with that, making drinks and simple syrups, the ultrasonicator, but
[01:03:22.970 --> 01:03:26.570]  I'm not quite convinced just yet.
[01:03:29.610 --> 01:03:32.010]  Definitely keep researching, everyone.
[01:03:32.170 --> 01:03:34.090]  It'll take a little bit of time.
[01:03:34.090 --> 01:03:39.130]  I think it was maybe three or four years ago that we had a company out here in Washington
[01:03:39.690 --> 01:03:44.490]  on the rec market go with the nano technology and that was really their thing and they pushed
[01:03:44.490 --> 01:03:44.990]  it.
[01:03:46.170 --> 01:03:51.370]  Working at a dispensary at the time, I tried them and I've tried all the other sample
[01:03:51.370 --> 01:03:51.930]  samples.
[01:03:51.930 --> 01:03:57.610]  I'm like, okay, I think there's something to it as far as just the delivery, but my
[01:03:57.610 --> 01:03:59.050]  knowledge stopped there.
[01:03:59.210 --> 01:04:01.210]  My knowledge isn't even skin deep.
[01:04:01.210 --> 01:04:04.410]  It's just like, yeah, okay, I think there's something to it.
[01:04:05.450 --> 01:04:07.450]  So it's interesting to hear more about that.
[01:04:09.050 --> 01:04:09.770]  I agree for sure.
[01:04:10.890 --> 01:04:15.130]  It's all about the minimum effective dose and deciding what works for you and starting
[01:04:15.130 --> 01:04:15.630]  small.
[01:04:16.890 --> 01:04:18.890]  Definitely be mindful, nobody wants to jump in.
[01:04:18.890 --> 01:04:20.090]  Everybody's different.
[01:04:20.090 --> 01:04:21.370]  Everybody's body is different.
[01:04:21.370 --> 01:04:25.450]  So that's why it's so hard when you try and give someone advice, it's like, well, no,
[01:04:25.450 --> 01:04:28.090]  you kind of have to, you know, you have to be careful.
[01:04:28.170 --> 01:04:33.930]  You kind of have to do this approach of like just doing a little at a time and, you know,
[01:04:33.930 --> 01:04:39.050]  like, oh, try a half a gummy bear and then do a whole one or, you know what I mean?
[01:04:39.050 --> 01:04:40.010]  Like work your way up.
[01:04:40.650 --> 01:04:46.250]  But like titrating, Shep's been like, honestly, I'm really proud of him because like the last
[01:04:46.250 --> 01:04:51.450]  three competitions that he's won at, we've gotten test results, which is so valuable
[01:04:51.450 --> 01:04:52.410]  to have that data.
[01:04:52.730 --> 01:04:58.810]  And it was just a testament that he's doing that right too and titrating all these things.
[01:04:58.810 --> 01:05:08.730]  He was on point with whatever it was, the 50 milligram, the 10 milligrams that were
[01:05:08.730 --> 01:05:15.530]  the 100 milligram pack for the gummy bears at the Freedom Cup, the CBD gummy.
[01:05:16.090 --> 01:05:19.850]  And we got to see some of the other competitors and some of the bigger producers.
[01:05:19.850 --> 01:05:24.730]  And he was like, he was closest to the number being on point.
[01:05:24.730 --> 01:05:29.770]  So, you know, I'm really, I was really proud to see that.
[01:05:29.770 --> 01:05:35.770]  And I'm sure he needs to be really proud about that because that's a problem that we always
[01:05:35.770 --> 01:05:36.090]  have.
[01:05:36.090 --> 01:05:40.090]  People know how to titrate because it's not really what it says on the package.
[01:05:40.090 --> 01:05:40.650]  So.
[01:05:40.650 --> 01:05:41.210]  Right.
[01:05:41.210 --> 01:05:44.970]  And for, you know, everybody listening too, it's just, you know, the plus minus, it's
[01:05:45.130 --> 01:05:50.890]  if they're saying it's 50 milligrams, you're hitting that at like 49.8.
[01:05:50.890 --> 01:05:55.210]  Whereas some of these other companies might have like a plus minus or like five or 10,
[01:05:55.210 --> 01:05:56.330]  which is ridiculous.
[01:05:56.970 --> 01:06:00.330]  But absolutely that adds up.
[01:06:00.330 --> 01:06:02.650]  So some people's five or 10, that's their dose.
