[00:00.000 --> 00:02.440]  your shows. Yeah.
[28:21.710 --> 28:23.070]  Thank you. Thank you. Thank you.
[28:26.270 --> 28:29.390]  So I kind of wanted to unless there was anything I kind of
[28:29.390 --> 28:33.150]  wanted to move on to talking about the Hanalei.
[28:33.590 --> 28:40.110]  Yeah, the Hanalei reminds me of my past. Because, you know, I'm
[28:41.310 --> 28:44.910]  I'm from the Americas, and there were some sweet sativas in
[28:44.910 --> 28:48.110]  South, in South America and in Central America, there were
[28:48.110 --> 28:52.790]  some sweet sativas. And this one Hanalei based trail that a
[28:52.790 --> 28:59.470]  family of mine had gathered for me in Hawaii in 2012. And then,
[28:59.750 --> 29:04.630]  you know, he's a real, he's a real herb lover. He loves
[29:04.630 --> 29:06.990]  himself some herbs. So everywhere he goes, he brings
[29:06.990 --> 29:10.910]  seeds. And he brought these Hawaiian for me probably 10
[29:10.910 --> 29:16.430]  years ago. And then after about, after about six or seven, I mean
[29:16.430 --> 29:20.270]  them in the fridge, I decided let me open them up. And there
[29:20.270 --> 29:25.870]  were some of the sweetest. It's like for me, it's the perfect
[29:26.870 --> 29:31.870]  sativa. Yeah, that's the Hanalei. They're very
[29:31.870 --> 29:35.830]  interesting. I mean, I find pinos in there from, from some
[29:35.830 --> 29:45.110]  sweet kind of to ripe guava, a range of different herbs, but
[29:45.110 --> 29:48.270]  the plants, they're really interesting plants, really
[29:48.270 --> 29:53.510]  crystally. And it's one of those sativas that you have a lot of
[29:53.510 --> 29:58.270]  that in the house, you open it up, you leave for work, you come
[29:58.270 --> 30:05.550]  back. You're like, there's some, there's some of the Hanalei in
[30:05.550 --> 30:08.350]  this house somewhere, you could smell it in the air. It's one of
[30:08.350 --> 30:15.070]  those herbs that you know, you could smoke it in a certain area
[30:15.070 --> 30:17.870]  and go back over there and you could tell that that herb was
[30:17.870 --> 30:20.910]  running smoking there. So that's, that's the thing with
[30:20.910 --> 30:23.630]  the Hanalei, it's very interesting and it makes the
[30:23.630 --> 30:26.910]  nicest hybrids, man. It makes some of the nicest hybrids.
[30:26.910 --> 30:30.670]  Everything that I select, every time I select a female from
[30:30.670 --> 30:34.270]  those Hanalei and make hybrids with them, I've done them back
[30:34.270 --> 30:39.150]  and forth. I've made Hanalei's females, hybrids with the females
[30:39.150 --> 30:44.270]  and I've made Hanalei's hybrids with the males. And they're all
[30:44.270 --> 30:48.910]  interesting. The whole line does really well. And I've made
[30:48.910 --> 30:52.510]  the whole line does really well on either side, whether you're
[30:52.510 --> 30:56.350]  hybridizing the males or you're hybridizing the females. They
[30:56.350 --> 31:02.830]  work really well. And, and what I like about it is that it's
[31:02.830 --> 31:07.790]  one step removed from making something really nice that can
[31:07.790 --> 31:12.350]  adapt to the indoor situation. It's not that earthy,
[31:12.350 --> 31:17.310]  terpinaline. You know, it's more appealing, it's more fruity,
[31:17.550 --> 31:22.350]  more of those types of terps. And like just about one step
[31:22.350 --> 31:26.830]  removed, like every time I hybridize it with an Indica male,
[31:28.190 --> 31:33.230]  it creates this fragrance that you use really well and has some
[31:33.230 --> 31:40.030]  kind of maple syrup, or pungent with, yeah, with fruit and
[31:40.670 --> 31:42.750]  really interesting, really, really interesting. It's
[31:42.750 --> 31:45.710]  somebody nicer. I remember you asked me a question once,
[31:47.310 --> 31:55.630]  what does the Hanalei, what sativa reminds me of home? And
[31:56.270 --> 32:00.270]  the Hanalei is the one that does that. Is there anything
[32:00.270 --> 32:02.270]  specific you want me to talk about the Hanalei?
[32:02.270 --> 32:06.830]  I mean, I mean, what you were saying was, was, was spot on. I
[32:06.830 --> 32:11.150]  mean, I, like, I remember you told me like the leaves. So what
[32:11.150 --> 32:16.110]  I, what I observed was that you were like, you know, the leaves
[32:16.110 --> 32:19.630]  are going to get thin and from the clone, or from the seedling,
[32:19.630 --> 32:23.310]  the leaves were fairly fat. But as soon as I took the cutting,
[32:23.950 --> 32:29.950]  the leaves thinned out to like a nice sativa hybrid. And the
[32:29.950 --> 32:32.510]  other thing that you told me was like, you know, the stem rub is
[32:32.510 --> 32:36.750]  going to be exactly like what the buds will be. And, you know,
[32:36.830 --> 32:41.230]  pretty easily, I found a plant that, you know, really had this,
[32:41.870 --> 32:47.310]  like, to me, it smelled almost like a tropical fruit mixed with,
[32:49.070 --> 32:53.310]  with like, perfume and some island sweet skunk smell in
[32:53.310 --> 32:59.070]  there. And even like when you would like, rub the stem, it was
[32:59.070 --> 33:03.310]  like tacky and like sticky, just from rubbing the stem with the
[33:03.310 --> 33:07.870]  plants that were in veg. And, you know, once they, you know,
[33:07.870 --> 33:10.750]  rooted, the clones have rooted, they've really started to like
[33:10.750 --> 33:14.910]  take off have that nice sativa growth pattern, you know, like
[33:14.910 --> 33:20.510]  the fast growth and the nice sativa stretch. So yeah, I mean,
[33:20.510 --> 33:24.270]  I'm really excited to find the right male and, you know,
[33:24.270 --> 33:27.070]  looking through the females, basically, everything you said
[33:27.070 --> 33:31.630]  was was spot on with them. And shoot, like, I remember when I
[33:31.630 --> 33:34.510]  first met you, that's the bud that you gave me with some of
[33:34.510 --> 33:38.030]  that. And I remember, you know, smoking that and just being
[33:38.030 --> 33:45.070]  like, shit, like, this is potent. Yeah, it's really, yeah,
[33:45.070 --> 33:48.190]  you're gonna get the broom, you can't just sit down, you gotta
[33:48.190 --> 33:50.190]  get the broom, you're gonna get something, you're gonna start
[33:50.190 --> 33:53.710]  dancing, something's gotta happen. You can't just sit down
[33:53.710 --> 33:59.550]  on that one, it gets, gets you moving. And yeah, you were
[33:59.870 --> 34:02.830]  what you're saying is one of the most appealing things about it
[34:02.830 --> 34:08.110]  was that, you know, even in the veg state, you can do a stem
[34:08.110 --> 34:11.790]  rub. And you could be like, dang, what is that? You know,
[34:11.790 --> 34:15.310]  you're not just getting that hashy, woody, you know, you're
[34:15.310 --> 34:18.990]  actually getting some real fruit coming out of those stem
[34:18.990 --> 34:23.150]  rub, like, like literally, and that's, those are the plants
[34:23.150 --> 34:26.910]  that I like to breed with plants that if I could rub it in veg
[34:26.910 --> 34:29.950]  and it smells like the flower when it's in flowers, like, oh
[34:29.950 --> 34:33.790]  my god, these are amazing plants. And that's one of the
[34:34.510 --> 34:38.510]  great things about the Hanalei line is that, you know, you
[34:38.510 --> 34:42.110]  could do stem rubs and you could almost get what that flower is
[34:42.110 --> 34:47.950]  gonna smell like just from a stem rub. You know, yeah, I had,
[34:47.950 --> 34:52.830]  I gave out a few cuts of it in the past. And, you know, my
[34:52.830 --> 34:56.430]  friends, they hybridized it and then they never kept the
[34:56.430 --> 35:00.990]  clones. So, you know, I still keep clones from the original,
[35:02.510 --> 35:05.950]  the original, a couple of clones from the original B1
[35:05.950 --> 35:10.990]  generation. And yeah, we're keeping clones. So, you know, I
[35:10.990 --> 35:15.790]  got some clones 20 years old, 18 years old, Cheritai's about
[35:15.790 --> 35:23.230]  13 years old. My mango is about 17 years old, OG Kush, 19 years,
[35:23.310 --> 35:27.070]  Ercol, 19 years, you know, just holding on to those old cuts.
[35:27.070 --> 35:30.510]  I got my own little library going over the past, you know,
[35:30.510 --> 35:34.910]  and then I've added those Hanalei's to it. And I got two
[35:34.910 --> 35:38.910]  different phenotypes of the Hanalei that I breed with. The
[35:38.910 --> 35:42.030]  one that you had smoked when you first met me and then the
[35:42.030 --> 35:45.550]  ripe guava phenotype is the line that you're working with.
[35:45.550 --> 35:49.870]  So what do you, what do you think the, like, what does the
[35:49.870 --> 35:51.710]  Hanalei add to the progeny?
[35:51.710 --> 35:59.070]  Man, I, Hanalei chem, depending, depending on which
[35:59.070 --> 36:06.510]  Hanalei chem B1, Super Lemon Haze. There's some stuff that
[36:06.510 --> 36:10.350]  comes out of there that is just, it reminds me of Super Lemon
[36:10.350 --> 36:13.550]  Haze. Then there's some little more chem leaning one. It's
[36:13.550 --> 36:19.230]  just, yeah, those, those, those, those lines got some, some
[36:19.230 --> 36:22.270]  decent genetic coding and they're passing it on
[36:22.270 --> 36:26.030]  differently in different phenotypes of the, of the
[36:26.030 --> 36:30.990]  progeny. So really interesting.
[36:31.790 --> 36:37.870]  So like, like, do you find that you kind of have like some that
[36:37.870 --> 36:42.830]  are on, so let's say it was the chem male, it was the chem male
[36:42.830 --> 36:46.030]  onto the Hanalei. So you find that like, basically you have
[36:46.030 --> 36:49.070]  like two camps, like some that are a little bit more chem
[36:49.070 --> 36:51.390]  leaning and some that are a little bit more Hanalei leaning
[36:51.390 --> 36:52.510]  or they're kind of like.
[36:53.150 --> 36:57.710]  Yeah, you have some that are, and then you have these, you
[36:57.710 --> 37:03.230]  know, it seems like the Hanalei allows the males, the Hanalei
[37:03.230 --> 37:06.270]  female allows the males to kind of strike in the middle as
[37:06.270 --> 37:10.350]  opposed to just being all, you know, it's like when I breed a
[37:11.150 --> 37:16.430]  or I'm making a hybrid from other land races, the land
[37:16.430 --> 37:20.030]  races, they tend to go right over the head of most of these
[37:20.910 --> 37:26.910]  modern hybrids. But with the Hawaiian or with the Hanalei,
[37:26.910 --> 37:30.910]  it seems to allow things to strike more in the middle, as
[37:30.910 --> 37:34.190]  opposed to you having a progeny that all of this entire
[37:34.190 --> 37:37.150]  progeny is just Hawaiian dominant. It's just Hawaiian
[37:37.230 --> 37:40.590]  looking plants all across the board. No, the female kind of
[37:40.590 --> 37:46.430]  allows the male to have some level of influences in the
[37:46.430 --> 37:50.270]  progeny, like you would see, you know, you would find some
[37:50.270 --> 37:53.150]  that is pretty chem leaning and you find some that is really,
[37:54.030 --> 37:57.870]  really Hanalei leaning. And then there's this group that's
[37:57.870 --> 38:00.990]  just in the middle there that kind of like fuses together
[38:00.990 --> 38:05.710]  into all of these brown sugar, lemon and maple syrup and
[38:05.710 --> 38:10.430]  menthol and, you know, and very pungent and pronounced as
[38:10.430 --> 38:15.470]  well. So it's one of those things. I mean, I've made other
[38:15.470 --> 38:19.950]  sativa hybrids where, like I said, you know, we were talking
[38:19.950 --> 38:23.790]  earlier that the Siskai and a lot of the African stuff and
[38:23.790 --> 38:26.510]  like, especially the Durban, you could outcross, outcross,
[38:26.510 --> 38:29.310]  outcross and you could still find it, you know what I'm
[38:29.310 --> 38:33.310]  saying? And it's dominant in the progeny, majority of your
[38:33.310 --> 38:38.030]  plants, sometimes up to 90, 95% is showing Durban when you hit
[38:38.030 --> 38:40.830]  it with a Durban, you know, you're getting that terpenele,
[38:40.830 --> 38:45.790]  you're getting all of that, but the Hanalei kind of allows
[38:45.790 --> 38:48.670]  things to kind of express differently as opposed to be
[38:48.670 --> 38:53.790]  just land-based dominant across the board, you know, and that's
[38:53.790 --> 38:57.870]  what I like with breeding the Hanalei and why I do a lot of
[38:57.870 --> 39:00.590]  work with it is because it brings a lot of interesting
[39:00.670 --> 39:05.390]  things. But for the most part, you're going to find that
[39:05.390 --> 39:08.910]  there's some Hanalei influence as far as the terps goes, but
[39:08.910 --> 39:14.430]  it varies all across, you know, because in the P1, in the P1, I
[39:14.430 --> 39:20.430]  found guava, carrot, mango, all these different kind of great
[39:20.430 --> 39:23.230]  terpenes. So, you know, you could see that, you know,
[39:23.230 --> 39:26.510]  within the genetic code of these plants, there are these
[39:26.510 --> 39:30.510]  things stored inside, you know, when you hybridize them,
[39:31.070 --> 39:34.590]  you know, you get a little bit of different things fusing
[39:34.590 --> 39:36.910]  together in different directions, and it's pretty
[39:36.910 --> 39:37.230]  unique.
[39:40.390 --> 39:48.470]  Yeah, I mean, I'm super excited to run them this year, and
[39:50.310 --> 39:54.230]  yeah, I'm looking for, what I'm looking for is a male that
[39:54.230 --> 40:02.950]  will kind of stretch out all of the more Indica popular,
[40:02.950 --> 40:07.990]  popular cuts that I'm working with just to put like a popular
[40:07.990 --> 40:09.270]  cut on a bigger frame.
[40:09.830 --> 40:14.870]  Yeah, cut down the bench time and you know, with that, like I
[40:14.870 --> 40:18.630]  said, those Hanalei are one step removed from making some super
[40:18.630 --> 40:22.390]  indoor hybrid. And you know, one step removed, you take it and
[40:23.190 --> 40:28.710]  you hit it onto an Indica, then you have a nice balance of both
[40:28.710 --> 40:33.430]  with an Asativa structure that finish faster than normal within
[40:33.430 --> 40:36.470]  like 10 weeks. Most of the Hanalei hybrid that I made with
[40:36.470 --> 40:40.630]  the chem, they're finishing at about 9-10 weeks, maybe 11, you
[40:40.630 --> 40:43.750]  know, depending on the phenome. But you know, you'll find that
[40:45.030 --> 40:50.390]  a lot of those things is what happens when you hybridize
[40:51.110 --> 40:53.830]  it changes a lot of those attributes.
[40:54.870 --> 40:59.590]  For sure. Super interesting. Super interesting.
[41:03.190 --> 41:06.470]  Do you want to keep on talking about Hanalei? I'd love to move
[41:06.470 --> 41:07.590]  on if you're if you're ready.
[41:12.710 --> 41:14.950]  Yeah, I want to talk about the purple unicorn.
[41:15.910 --> 41:19.430]  Purple unicorn? Yeah, I want to talk about the purple unicorn
[41:19.430 --> 41:23.830]  male just to, I guess, I'll just to give everybody a little
[41:23.830 --> 41:27.990]  background. Grasshopper has been working with the purple unicorn
[41:27.990 --> 41:34.470]  male. I've done the I've been testing some purple unicorn by
[41:34.470 --> 41:41.190]  Hanalei plants. And my thinking was, I wanted to just to look
[41:41.190 --> 41:45.350]  for the Hanalei leaning phenos. Purple unicorn is famous for
[41:45.350 --> 41:51.670]  breeding truly purple. So all of the solid purple plants, so
[41:51.670 --> 41:54.870]  these plants are all being grown outdoors currently, all the
[41:54.870 --> 41:59.350]  super purple plants I culled. The most purple ones were
[41:59.350 --> 42:01.190]  actually the males, it was really interesting to see a
[42:01.190 --> 42:05.350]  bunch of males that were like solid purple, like from stem,
[42:05.990 --> 42:09.430]  all the leaf, everything solid purple, culled all of those. So
[42:09.430 --> 42:12.630]  I had all the green ones, figured those would be all the
[42:12.630 --> 42:16.790]  Hanalei leaning ones. As the Hanalei leaning ones began to
[42:16.790 --> 42:20.710]  flower, I noticed that all of them have purple coming from the
[42:20.710 --> 42:26.230]  buds. So essentially, what it appears that all of these
[42:26.230 --> 42:31.350]  phenos are express purple, at least when it's cold. It's just
[42:31.350 --> 42:36.710]  if it is it extremely dark purple, or is it a purple bud?
[42:36.870 --> 42:41.830]  So yeah, I'm extremely intrigued by the purple unicorn crosses. I
[42:41.830 --> 42:45.910]  think even like the purple you hit to like the runs could be a
[42:45.910 --> 42:51.670]  pretty interesting one. But yeah, that purple unicorn male.
[42:54.230 --> 42:58.310]  Yeah, got it. Yeah, the purple unicorn, actually, you know,
[42:58.310 --> 43:03.350]  the purple unicorn is Bodhi, you know, and it's a homozygote
[43:03.510 --> 43:07.350]  and it's homozygous for that purple trait. I mean, he locked
[43:07.350 --> 43:11.270]  that in really good. And it's a purple unicorn F5, you know,
[43:11.270 --> 43:16.470]  that I got from one of my employees one day. And I
[43:16.470 --> 43:19.190]  recommended it to him and he got it. And I told him like,
[43:19.190 --> 43:23.430]  you know, select a couple males out there for me. He brought me
[43:23.430 --> 43:28.550]  a couple and then I chose one. And I, you know, it's a really
[43:28.550 --> 43:31.590]  interesting male. I've never seen a male that from the get
[43:31.670 --> 43:36.230]  go just, you know, it's all purple, purple male flowers,
[43:36.230 --> 43:39.110]  purple. The only thing that is not purple that comes out of
[43:39.110 --> 43:42.710]  there is the pollen. But everything else is purple, the
[43:42.710 --> 43:48.790]  entire plant. So I went ahead and did that last summer with,
[43:50.550 --> 43:55.590]  I had put some Florida OG, some of the purple unicorn on the
[43:55.590 --> 44:01.910]  Florida OG, I put it on some Urkels, Cherry Pie, Purple
[44:01.910 --> 44:07.030]  Unicorn Brunch, Purple Unicorn Jealousy. I don't know, a whole
[44:07.030 --> 44:09.990]  bunch of other stuff, some stuff that I made that was called
[44:09.990 --> 44:14.470]  One Dime, Gelato 41 by Kim Dime, put some of that on there as
[44:14.470 --> 44:22.310]  well. Some Hanalei's. The Hanalei actually, you know, not
[44:22.310 --> 44:25.670]  to get off the purple unicorn topic, but the Hanalei actually
[44:25.670 --> 44:29.350]  colors up too at the end. You know, get purple and, you know,
[44:30.950 --> 44:33.990]  yeah, but not to get off the purple unicorn. But I think the
[44:33.990 --> 44:36.310]  purple unicorn is going to be an interesting one. I got a
[44:36.310 --> 44:40.710]  purple unicorn. I'm actually testing those myself right now.
[44:40.710 --> 44:45.830]  Purple Unicorn by Cherry Pie. I got like 15 of those going.
[44:45.830 --> 44:52.070]  Purple Unicorn by Urkel. Purple Unicorn Corn by Larry's
[44:52.070 --> 44:59.750]  Bread, which is, you know, Mendel Perks OGKB and Gelato 33
[44:59.750 --> 45:04.710]  by Purple Unicorn. Those plants are amazing. I mean, so far from
[45:04.710 --> 45:09.270]  what I'm seeing, really amazing plants. Everything should color
[45:09.270 --> 45:16.550]  up really well. And thanks to Bodhi for, you know, locking that
[45:16.550 --> 45:21.430]  trait in the way he did. It was an amazing, I think it was a
[45:21.430 --> 45:25.590]  good choice for me as far as trying to make a Urkel or put
[45:25.590 --> 45:29.190]  it onto a Urkel and, you know, even onto the Cherry Pie. You
[45:29.190 --> 45:32.070]  know, the Cherry Pie that I have is pretty unique. It gets more
[45:32.070 --> 45:35.750]  colorful than the Urkel. You know, it's made from the Urkel.
[45:36.310 --> 45:39.510]  But yeah, and the Cherry Pie that I have is a little bit
[45:39.510 --> 45:43.430]  different than most people have been working with. I see Cherry
[45:43.430 --> 45:47.910]  Pie out there and what is that? But yeah.
[45:48.390 --> 45:49.990]  Do you want to elaborate on your Cherry Pie?
[45:53.030 --> 45:59.350]  2008, I had a friend in San Francisco and there were three
[45:59.350 --> 46:03.990]  different phenos of Cherry Pie circulating. And he gave me
[46:03.990 --> 46:09.190]  cuts of the three phenos. I lived in San Francisco for a
[46:09.190 --> 46:11.910]  long time. I worked for a lot of those dispensers there. So I
[46:11.910 --> 46:14.550]  had a lot of cool people and cool friends and I was kind of
[46:14.550 --> 46:19.990]  connected over that side. 2008, 2009, he gave me three
[46:19.990 --> 46:24.630]  phenos and I grew them all out and for a couple times and
[46:24.630 --> 46:29.510]  then selected the one I loved the most, which is, it was a
[46:29.510 --> 46:32.710]  little bit shorter plant, a little bit looser bud, but
[46:32.710 --> 46:37.670]  colored up really good. And, you know, finishes really early.
[46:37.670 --> 46:43.110]  You know, seven weeks, candy, terp, like crazy. You leave it
[46:43.110 --> 46:46.710]  to go longer, eight, into eight and over eight weeks, then it
[46:46.710 --> 46:50.150]  started getting deeper, dark, varnished, licoricey, more
[46:50.710 --> 46:57.830]  black, you know. I've seen, and the Cherry Pie, the reason I
[46:57.830 --> 47:00.790]  kept it around is because I remember crossing it into New
[47:00.790 --> 47:07.990]  York City Diesel and did some sour BX on it and man, it's a
[47:07.990 --> 47:12.550]  breed so true for Cherry, dominant across the board. So,
[47:12.630 --> 47:15.990]  you know, that's one reason I keep the pie around for so
[47:15.990 --> 47:18.630]  long. If I want Cherry, it's like, you're going to get it
[47:18.630 --> 47:21.830]  out of that. It's no, it's what made it, it doesn't matter what
[47:21.830 --> 47:24.710]  you put on it. You know, I mean, I just, you look at the
[47:24.710 --> 47:29.030]  Cherry Dogs, I mean, where's the chem in it? You know, the
[47:29.030 --> 47:32.950]  whole progeny just colors up and get, become strong and just
[47:33.990 --> 47:39.030]  has Cherry Terps with very little chem and, you know.
[47:39.510 --> 47:43.830]  Were all of those plants Cherry growers or were they a little
[47:43.830 --> 47:44.310]  bit bigger?
[47:45.030 --> 47:46.310]  Which one is that?
[47:46.310 --> 47:47.350]  The Cherry Dog.
[47:48.310 --> 47:51.750]  The Cherry Dog? Well, I mean, some of them stayed smaller,
[47:51.750 --> 47:55.030]  you know, the Cherry Pie has Urkel in it and it's like, I'm
[47:55.030 --> 47:58.390]  sure it's an F1. So, you know, every time, every once in a
[47:58.390 --> 48:01.670]  while, maybe, you know, I don't know, about 10% of the
[48:01.670 --> 48:04.310]  progeny, you're going to find small aquatic plants that are
[48:04.310 --> 48:09.110]  more Urkel leaning, you know, and then, you know, those plants
[48:09.110 --> 48:12.070]  are interesting as well, but I, you know, if I get those
[48:12.070 --> 48:15.910]  plants, if I use those plants, it just takes me an extra step
[48:15.910 --> 48:18.550]  because I'm trying to breed something that grows and veg
[48:18.550 --> 48:24.470]  well and stuff like that. So, I tend to use the little more
[48:24.470 --> 48:26.230]  chem structure plant.
[48:28.230 --> 48:32.310]  Okay, but even the bigger chem structured plants still, the
[48:32.310 --> 48:33.750]  buds come out Cherry Pie.
[48:34.390 --> 48:37.830]  Cherry all across the board and those are even more unique
[48:37.830 --> 48:43.750]  because those have like a kind of candy pink kind of wedding
[48:43.750 --> 48:47.670]  cake kind of something like that, very creamy and pink
[48:47.670 --> 48:53.030]  bubblegummy kind of and it's very unique the way how the
[48:53.030 --> 48:56.870]  smoke hit the palette of the Cherry Pie crosses and stuff.
[48:56.870 --> 48:59.910]  It's a very, very unique one. I've never found anything and
[48:59.910 --> 49:03.750]  it's just like the Cherry Pie, you could, you could touch the
[49:03.750 --> 49:06.550]  trichromes on it and it melts like right away and turns into
[49:06.550 --> 49:09.430]  this oil on your finger and I think that's one of the reasons
[49:09.430 --> 49:13.430]  for the way that the Cherry Pie smoke and the Cherry Pie
[49:13.430 --> 49:19.350]  hybrid, they also have that soft powdery kind of like white
[49:19.350 --> 49:25.430]  cloudy, nice mouth coating, but not very heavy and sharp type
[49:25.430 --> 49:32.470]  smoke. I recall from the Cherry Pie that it was, it hit very
[49:32.470 --> 49:35.910]  quickly and was potent to like where like we couldn't even
[49:35.910 --> 49:38.710]  like, you know, we didn't even finish our half joints. We just
[49:38.710 --> 49:41.750]  kind of like, I like forgot about my joint. But the chem
[49:41.750 --> 49:45.670]  brought to it because, chem brought that to it because the
[49:45.670 --> 49:48.150]  Cherry Pie only tests normal. I can't get it more than like
[49:48.150 --> 49:53.190]  18, 19% of the morning, you know, 18% and it's usually
[49:53.190 --> 49:58.150]  Cherry Pie by itself. It's a light kind of delayed mild over
[49:58.150 --> 50:01.590]  it, you know, it's very functional, it's very tasty,
[50:01.670 --> 50:03.830]  it's kind of lighter, but you know, hitting the chem
[50:03.830 --> 50:05.910]  dogs on it, yeah, I'm sure it's up in the 20s.
[50:07.430 --> 50:11.430]  Nice, very nice. Are there any other interesting projects you'd
[50:11.430 --> 50:13.190]  like to share with us that you're working on right now?
[50:13.830 --> 50:21.510]  Oh man, right now I'm doing an Urkel back cross, Purple Unicorn
[50:21.510 --> 50:29.910]  Urkel back into Urkel. And then Purple Unicorn back into Urkel
[50:29.910 --> 50:39.030]  and then also I am doing a repopulation of the Agobe. I
[50:39.030 --> 50:46.630]  only had like 100 seeds of those Agobe there, 1987. I got,
[50:46.630 --> 50:49.510]  yeah, I have my friends that had that in 1987, didn't know
[50:49.510 --> 50:53.910]  they have it. Popped it a few years ago and two of the seeds
[50:53.910 --> 50:57.190]  grew out of it and, you know, they end up cloning him who was
[50:57.190 --> 51:01.110]  a male and a female and repopulated it and it's one of
[51:01.110 --> 51:04.790]  the nicer plants that I've ever grew when it comes to Indica.
[51:04.790 --> 51:08.710]  I mean, I've done a lot of Afgani and Mazari and I was like,
[51:08.710 --> 51:12.230]  oh, this is not where I'm trying to be. But dealing with
[51:12.230 --> 51:16.070]  the Agobe and working with the Agobe, I've been an interesting
[51:16.070 --> 51:21.510]  one. So I'm doing Florida OG, I'm putting that on, I'm putting
[51:21.510 --> 51:24.950]  some Agobe on that and selecting. I've grown, I've
[51:25.030 --> 51:29.030]  grew the Agobe for a period of time. I would pop 10 seeds here
[51:29.030 --> 51:31.510]  and there just to kind of like get an understanding of the
[51:31.510 --> 51:36.390]  progeny and what's in there. And now that I saw what's in the
[51:36.390 --> 51:40.310]  progeny, then I went back and popped some more seeds and then
[51:40.310 --> 51:43.190]  now I know what I'm looking for as far as a male goes.
[51:43.190 --> 51:46.950]  And where exactly is the Agobe Desert?
[51:49.270 --> 51:53.350]  The Agobe Desert is, you know, it's China. It's like, it's a
[51:53.350 --> 51:58.150]  space between China and the Himalayas and India and that
[51:58.150 --> 52:01.270]  whole era right there with, you know, the steps. People talk
[52:01.270 --> 52:04.230]  about the steps. People talk about the Silk Route, the Silk
[52:04.230 --> 52:09.590]  Road, all of these type of things. The Agobe Desert had a
[52:09.590 --> 52:12.870]  few cities. The Silk Road passed through the Agobe Desert
[52:13.510 --> 52:16.310]  and there was a few cities around there like Turpan and
[52:16.310 --> 52:18.790]  different cities around there that people would trade and,
[52:19.430 --> 52:23.670]  you know, and also there's a documentary out on, you know,
[52:23.670 --> 52:29.270]  some of the oldest herbs found in a tomb with some guy in his
[52:29.270 --> 52:32.790]  tomb in the Agobe Desert and it was well preserved. And, you
[52:32.790 --> 52:37.670]  know, so it's one of the older regions for that type of
[52:37.670 --> 52:39.030]  cannabis, you know.
[52:41.030 --> 52:44.790]  Is there anything that you could compare the Agobe to that
[52:44.790 --> 52:47.430]  you, that like maybe people have smoked?
[52:47.670 --> 52:52.550]  Man, it's, it's, how do I compare it to?
[52:55.030 --> 52:59.670]  I would say it's an Afghani type plant. You know, the Agobe
[52:59.670 --> 53:05.430]  and those places is more north of Afghani. But because of the
[53:05.430 --> 53:11.590]  way it flowers early, you know what I mean, we put it in in
[53:11.590 --> 53:15.750]  April and we get huge three, four pound plant in Tartan seed
[53:16.550 --> 53:20.470]  in April, late April and it finishes the end of September,
[53:21.270 --> 53:24.870]  you know, and it does well in the cold nights and it's, you
[53:24.870 --> 53:29.190]  know, even indoors, it's one of the faster onset than anything
[53:29.190 --> 53:32.470]  else I've worked with over here. I mean, it goes into
[53:32.470 --> 53:37.350]  flowering, it goes in and goes in fast and hard, you know. So
[53:37.350 --> 53:41.350]  for me, it's, you know, I think it's a better line than most of
[53:41.430 --> 53:47.190]  the Afghanis that I've worked with. The Tartan is more from
[53:47.190 --> 53:51.670]  like sulfur, acrid. I don't even know how to explain those
[53:51.670 --> 53:57.190]  things, but pretty unique plant. Very crystalline and yeah,
[53:57.190 --> 53:58.470]  all, all, all stuff.
[53:59.510 --> 54:02.710]  Do you know this person down here, Jamal? This person that's
[54:02.710 --> 54:05.590]  popped up down here at the bottom? Are you expecting them?
[54:05.590 --> 54:07.030]  Sorry to interrupt you, Grasshopper.
[54:07.670 --> 54:11.990]  I can't see that there is one other person, Sankofa. Yeah.
[54:11.990 --> 54:14.790]  Okay. So I wanted to check before I put them on because you
[54:14.790 --> 54:20.790]  never know. Welcome Sankofa. Oh, he's not there anymore. That's
[54:20.790 --> 54:21.510]  it. Okay.
[54:21.510 --> 54:30.550]  Yeah. Yeah. I think he'll jump in in a second. I was curious,
[54:31.110 --> 54:35.750]  Elka, you said that there was, I mean, I saw maybe that there
[54:35.750 --> 54:39.270]  were a few questions in the, in the comments.
[54:39.270 --> 54:42.310]  Yes. One of them is from Cheddar Bob. He's asked this one
[54:42.310 --> 54:45.830]  several times. Does, does Grasshopper or yourself know
[54:45.830 --> 54:49.190]  anything about Tibetan land race because of like the origins
[54:49.190 --> 54:51.590]  of cannabis and everything they say that it was from that
[54:51.590 --> 54:55.910]  plateau and everything. So I was wondering if either of you all
[54:55.910 --> 55:01.190]  know about any of that type of thing, since you're kind of all
[55:01.190 --> 55:03.750]  over the place, you're talking about South Africa and it's a
[55:04.710 --> 55:05.910]  very interesting conversation.
[55:06.790 --> 55:11.590]  For me, for me, it's, I don't know much about that region,
[55:11.590 --> 55:14.550]  but it seems like from the documents and from the research
[55:14.550 --> 55:18.310]  that I've done, it seems like it's one of the, one of the
[55:18.310 --> 55:22.390]  areas that has the earliest documentation of the plant
[55:22.390 --> 55:28.790]  itself. As much as I can say, you know, as far as, you know,
[55:28.790 --> 55:31.670]  the history is there for it. It's one of the older, some of
[55:31.670 --> 55:34.710]  the oldest documents we could find on cannabis is in that
[55:34.710 --> 55:40.710]  area. You know, as much as I can really say on it, I don't
[55:40.710 --> 55:44.150]  really know much about it. I've grown a couple of strings from
