[00:00.000 --> 00:01.340]  I did, I did.
[28:34.580 --> 28:35.860]  it's always all been for hash
[28:35.860 --> 28:39.020]  and maybe a couple of branches are for flower.
[28:39.020 --> 28:41.780]  You know, you started talking about grit.
[28:41.780 --> 28:43.700]  So can we go into that a little bit?
[28:43.700 --> 28:45.740]  Because, you know, that's something
[28:45.740 --> 28:48.100]  that's always fascinated me is that the trichomes
[28:48.100 --> 28:49.820]  are that strong that they can, you know,
[28:49.820 --> 28:52.720]  stay intact while you're rubbing them in your finger.
[28:53.740 --> 28:56.180]  Yeah, and that's one thing I do look at.
[28:56.180 --> 28:58.940]  And like a lot of times, like the best producing plants,
[28:58.940 --> 29:01.900]  like that sandiness is a great thing, like I said.
[29:01.900 --> 29:03.780]  But a lot of times, like the plants that will have
[29:03.780 --> 29:08.100]  even like higher returns from that hash into rosin
[29:08.100 --> 29:10.860]  are gonna be ones that like, where they're just fat heads,
[29:10.860 --> 29:12.500]  but they have like a stronger membrane
[29:12.500 --> 29:15.020]  where you're getting some of that tackiness.
[29:15.020 --> 29:17.500]  And you can kind of like squeeze the resin
[29:17.500 --> 29:18.780]  and lift your fingers apart.
[29:18.780 --> 29:22.020]  And you'll see like little strings coming off of the nub,
[29:22.020 --> 29:23.860]  like between your fingers.
[29:23.860 --> 29:28.580]  And like that to me has always been a really good sign
[29:28.580 --> 29:31.540]  for like hashability.
[29:34.100 --> 29:36.740]  So it's really like the spiderwebs
[29:36.740 --> 29:38.300]  that you're chasing after.
[29:39.140 --> 29:40.500]  In a way, I mean, yeah.
[29:40.500 --> 29:43.860]  But what was I gonna say?
[29:43.860 --> 29:44.700]  Fuck.
[29:47.100 --> 29:49.820]  You've been dabbing for the show, Andrew.
[29:49.820 --> 29:50.740]  A little bit, dude.
[29:50.740 --> 29:53.340]  You know how it goes.
[29:53.340 --> 29:54.420]  Yeah, for sure, bud.
[29:55.820 --> 29:57.260]  Yeah, always fresh frozen.
[29:57.260 --> 29:58.460]  That's key.
[29:58.460 --> 30:01.700]  Like there's nothing wrong with doing cured nub
[30:01.700 --> 30:03.540]  and I've done it for trim and stuff.
[30:03.540 --> 30:08.540]  But as far as profitability and representation of the plant,
[30:10.740 --> 30:12.820]  you're gonna see the best in fresh frozen.
[30:14.740 --> 30:15.900]  You wanna kind of explain that?
[30:15.900 --> 30:20.540]  I feel like a lot of people are pretty much confused
[30:20.540 --> 30:22.140]  when they start to get into things
[30:22.220 --> 30:24.660]  like why certain things cost so much.
[30:24.660 --> 30:26.020]  Do you wanna kind of break that down
[30:26.020 --> 30:28.940]  into what really goes into producing,
[30:28.940 --> 30:30.740]  if you'd love to show your jar again,
[30:30.740 --> 30:32.940]  what it really takes to produce something like that?
[30:32.940 --> 30:34.900]  Because I don't feel like all the viewers might know,
[30:34.900 --> 30:36.020]  especially when you're just,
[30:36.020 --> 30:38.260]  you're putting out 4%, 6%.
[30:38.260 --> 30:40.500]  They might not necessarily know exactly
[30:40.500 --> 30:42.780]  what you're talking about there, Andrew.
[30:42.780 --> 30:45.980]  Well, what I'm talking about when I'm talking like,
[30:45.980 --> 30:48.180]  percentages and whatnot is I'm talking
[30:49.180 --> 30:51.460]  about the weight of the hash that's yield
[30:52.540 --> 30:56.860]  divided by the weight of the wet material that was input.
[30:56.860 --> 30:59.780]  And that's where you get your yield, so to speak.
[30:59.780 --> 31:03.500]  And like something that would like,
[31:03.500 --> 31:05.940]  so basically when you're using fresh frozen,
[31:05.940 --> 31:10.220]  like there's, they say that there's like a four times
[31:11.620 --> 31:15.540]  shrinkage or expansion, you know, going from wet to dry.
[31:16.380 --> 31:19.660]  I don't know because I've never really like played with that
[31:19.660 --> 31:21.260]  so that's just what they say.
[31:21.260 --> 31:24.740]  And so basically, you know, supposedly like
[31:24.740 --> 31:28.860]  if you had something that's doing like 8%,
[31:28.860 --> 31:30.900]  you know, it would be like, you know,
[31:30.900 --> 31:32.780]  three to four times that.
[31:32.780 --> 31:35.820]  And if you were to cure it out and then run it.
[31:37.300 --> 31:39.660]  So essentially if you're getting a 5% yield,
[31:39.660 --> 31:44.060]  that's like getting like a 20% yield on cured nug.
[31:45.740 --> 31:48.060]  And let's go more into like the amount of work
[31:48.060 --> 31:50.780]  that it takes to even be able to get those yields.
[31:50.780 --> 31:53.820]  I mean, you have to have a quality canvas to start with.
[31:53.820 --> 31:56.580]  So what does it really take to get to that point?
[31:56.580 --> 31:57.860]  Because I feel like some people,
[31:57.860 --> 32:00.060]  especially when they fly into,
[32:00.060 --> 32:01.740]  I guess I just know about Denver,
[32:03.180 --> 32:05.860]  they're kind of sticker shocked sometimes,
[32:05.860 --> 32:07.820]  unless they're coming more from like the bigger cities
[32:07.820 --> 32:08.900]  on what that costs.
[32:08.900 --> 32:11.820]  So I'd love to hear from the, you know,
[32:11.820 --> 32:14.740]  the man himself of what kind of work really goes in
[32:14.780 --> 32:16.340]  to create something like that.
[32:17.260 --> 32:20.020]  Well, it's a lot of work and I'd say like
[32:20.020 --> 32:21.140]  more than it is work.
[32:21.140 --> 32:23.300]  I mean, there's a lot of striking out involved
[32:23.300 --> 32:24.700]  in like finding good winners.
[32:24.700 --> 32:27.580]  Like, I don't know, you're gonna make mistakes learning
[32:27.580 --> 32:29.580]  and it's gonna cost you material
[32:29.580 --> 32:33.340]  and it's gonna cost to find winners essentially.
[32:33.340 --> 32:34.700]  Because sometimes you will strike out
[32:34.700 --> 32:36.860]  and you'll find stuff that hits the bags
[32:36.860 --> 32:39.180]  and you know, you're hardly getting anything off of there.
[32:39.180 --> 32:41.500]  And it's really sad and it's really upsetting
[32:41.500 --> 32:44.260]  and it's gonna happen to everybody.
[32:44.780 --> 32:46.300]  But the more like you get to read the resin
[32:46.300 --> 32:48.060]  while it's still alive on the plant,
[32:48.060 --> 32:50.980]  the more you can avoid scenarios like that.
[32:53.340 --> 32:55.780]  So how much like time and effort, I mean,
[32:55.780 --> 33:00.260]  to wash all this stuff, this is taking you hours, correct?
[33:00.260 --> 33:02.060]  Yeah, I mean, the growing is,
[33:02.060 --> 33:03.060]  I mean, I'm not gonna lie to you,
[33:03.060 --> 33:04.460]  the growing is the hardest part
[33:04.460 --> 33:06.580]  and getting the conditions dialed down.
[33:06.580 --> 33:10.900]  Like being a hash maker is all about keeping things clean
[33:10.900 --> 33:15.220]  and taking the, you know, the grower's product,
[33:15.220 --> 33:17.300]  what they give you and really just sharpening it
[33:17.300 --> 33:20.060]  and demonstrating their quality, you know?
[33:20.060 --> 33:21.700]  So, I mean, a great hash maker
[33:21.700 --> 33:23.620]  is just gonna be a great cleaner
[33:23.620 --> 33:26.380]  and just able to, you know, transfer
[33:26.380 --> 33:28.540]  and able to keep it clean and to begin with,
[33:28.540 --> 33:31.820]  like, and just bring it through the process in one piece
[33:31.820 --> 33:33.060]  without degrading quality
[33:33.060 --> 33:35.860]  and getting them the max back from their work.
[33:35.860 --> 33:39.460]  And I mean, really like 99% of the work
[33:39.460 --> 33:40.580]  is done in the garden.
[33:41.260 --> 33:42.380]  Like, you know, the color of the hash,
[33:42.380 --> 33:43.780]  that's like a garden thing.
[33:44.860 --> 33:46.700]  The meltability, that's a garden thing.
[33:46.700 --> 33:48.560]  The turps, that's a garden thing.
[33:49.940 --> 33:52.220]  And it also comes down to the grower to,
[33:52.220 --> 33:56.340]  you know, prep that stuff nicely.
[33:56.340 --> 33:59.820]  I mean, that's where like 90% of the quality is lost,
[33:59.820 --> 34:01.100]  like in these commercial settings
[34:01.100 --> 34:02.960]  when they chop those plants down, you know?
[34:02.960 --> 34:05.140]  They're pretty much dragging them through the dirt
[34:05.140 --> 34:06.420]  in some of these scenarios
[34:06.420 --> 34:08.540]  and then they're sliding them across trimming tables
[34:08.540 --> 34:12.060]  and, you know, doing all kinds of stuff that breaks resin
[34:12.060 --> 34:14.660]  and ultimately decreases what's gonna end up in the bags
[34:14.660 --> 34:15.700]  in one piece.
[34:18.080 --> 34:19.400]  Yeah, at the commercial level,
[34:19.400 --> 34:21.100]  it's definitely not about turpines.
[34:21.100 --> 34:23.460]  I mean, they let plants hit the floor
[34:23.460 --> 34:25.460]  and they pick them up the next day kind of thing.
[34:25.460 --> 34:29.620]  So, you know, our discussion today is really more for,
[34:29.620 --> 34:31.860]  you know, I feel like the smaller farmer,
[34:31.860 --> 34:35.300]  the tent grower that's wanting to kind of learn
[34:35.300 --> 34:38.340]  from you in a way and learn from everybody else on the show
[34:39.100 --> 34:42.380]  is how do I, you know, get the canvas that I really need,
[34:42.380 --> 34:45.180]  which you just basically said was about 90% of,
[34:45.180 --> 34:48.980]  you know, your success is understanding how the plant grows
[34:48.980 --> 34:51.580]  and then taking it to the next level by washing it
[34:51.580 --> 34:53.740]  and understanding the genetics that wash
[34:53.740 --> 34:55.280]  where you're gonna get the yields
[34:55.280 --> 34:57.060]  that are going to be able to be fruitful
[34:57.060 --> 35:00.420]  so you can continue down that process.
[35:00.420 --> 35:01.800]  And I feel like for a lot of people,
[35:01.800 --> 35:03.140]  when they start to wash,
[35:03.140 --> 35:05.660]  that's one of the biggest hiccups that they have
[35:05.700 --> 35:09.940]  is they have a few times where it's not successful
[35:09.940 --> 35:11.580]  and then they're like, ah, fuck this.
[35:11.580 --> 35:13.700]  So I feel like it is a lot of tried and true
[35:13.700 --> 35:16.660]  and almost artwork, if you will,
[35:16.660 --> 35:20.560]  for you guys that are really got it dialed in like that.
[35:20.560 --> 35:22.140]  Yeah, I mean, like I said,
[35:22.140 --> 35:23.860]  like the work is done in selection
[35:23.860 --> 35:25.940]  and it's done in the grow room, you know,
[35:25.940 --> 35:28.540]  and everything else is just maintaining that product
[35:28.540 --> 35:30.020]  and keeping it clean.
[35:30.020 --> 35:33.420]  And yeah, I mean, that's pretty much it.
[35:33.660 --> 35:35.740]  I mean, washing is pretty easy.
[35:35.740 --> 35:37.300]  You know, you gotta keep everything cold
[35:37.300 --> 35:40.080]  and that's pretty much it, cold and clean.
[35:41.740 --> 35:45.800]  You washing in garbage cans or you do smaller?
[35:47.300 --> 35:48.660]  You know, so it depends what I'm doing.
[35:48.660 --> 35:50.940]  Like I'll use, like I'll bring out like the bubble magics
[35:50.940 --> 35:53.640]  for like single pheno testers and stuff.
[35:53.640 --> 35:55.460]  Like I'll just run, like all this stuff,
[35:55.460 --> 35:58.220]  like these were more like single plant runners.
[35:58.220 --> 36:00.820]  So, I mean, I just did these in like a bubble magic.
[36:01.660 --> 36:03.820]  So, that's pretty much it.
[36:04.940 --> 36:06.780]  That's really why I want, I mean,
[36:06.780 --> 36:08.740]  I want a lot of people to see that, you know,
[36:08.740 --> 36:11.700]  when you take the time to get the knowledge like you have,
[36:11.700 --> 36:13.260]  you can do this yourself.
[36:13.260 --> 36:15.860]  I mean, this is your next level, my friend.
[36:15.860 --> 36:19.380]  So, this is where I feel like as everyone gets older
[36:19.380 --> 36:20.900]  and it passes on to the newer,
[36:20.900 --> 36:24.620]  we wanna continue to spread that information.
[36:24.620 --> 36:26.560]  And I know that, you know,
[36:26.560 --> 36:28.820]  we had a mutual class with Chris Trump.
[36:28.820 --> 36:31.220]  Are there some other mentors that you feel like
[36:32.260 --> 36:33.820]  the viewers should start to learn up on
[36:33.820 --> 36:35.460]  that might not necessarily be known
[36:35.460 --> 36:38.060]  that you feel like has really stood out for you?
[36:38.060 --> 36:39.280]  Yeah, absolutely.
[36:40.180 --> 36:43.020]  I think someone that's been really just like influential
[36:43.020 --> 36:45.540]  on my journey and, you know,
[36:45.540 --> 36:47.260]  probably one of the first people to really get me
[36:47.260 --> 36:49.120]  into like Korean natural farming
[36:49.120 --> 36:51.400]  and like implementing some of those things
[36:51.400 --> 36:53.460]  is a guy called Macho Melts.
[36:53.460 --> 36:55.060]  He's from Michigan.
[36:55.060 --> 36:57.860]  And he was like the first person
[36:57.860 --> 36:59.980]  to send me the Cho PDF.
[36:59.980 --> 37:03.100]  And like, you know, we were talking hash in those times
[37:03.100 --> 37:04.740]  and he was like, you know, check this out.
[37:04.740 --> 37:07.380]  You know, you can elevate your hash
[37:07.380 --> 37:09.100]  by growing more naturally.
[37:09.100 --> 37:12.420]  And, you know, he was right.
[37:12.420 --> 37:14.260]  I mean, that's been my life since then.
[37:14.260 --> 37:16.600]  I've been, you know, trying to become more natural
[37:16.600 --> 37:17.900]  and more sustainable.
[37:17.900 --> 37:20.620]  And that's led me to have better quality overall
[37:20.620 --> 37:21.900]  and also less overhead.
[37:21.900 --> 37:22.980]  I mean, you can get to a point
[37:22.980 --> 37:25.380]  to where you're just paying for your electricity pretty much.
[37:25.420 --> 37:27.580]  And, you know, some of the grow equipment.
[37:28.980 --> 37:30.300]  Yeah, and that's really, you know,
[37:30.300 --> 37:33.400]  the end goal I feel like for anybody that gets into it
[37:33.400 --> 37:36.220]  is we wanna get to the point where we're using water
[37:36.220 --> 37:38.860]  because we've built a living and thriving community.
[37:38.860 --> 37:40.980]  We might need a few amendments every now and then,
[37:40.980 --> 37:42.620]  but for the most part,
[37:42.620 --> 37:45.900]  it really can replicate nature on a microcosm scale.
[37:45.900 --> 37:47.420]  And you're able to produce the quality
[37:47.420 --> 37:48.860]  like you just showed in your jar.
[37:48.860 --> 37:51.600]  If you take the time yourself to educate
[37:52.040 --> 37:55.400]  and continue to focus on that canvas
[37:55.400 --> 37:57.040]  so that you can learn to wash.
[37:57.040 --> 38:00.760]  And then of course, wow, your friends with the baller jars
[38:00.760 --> 38:02.520]  is what they call them here in Denver.
[38:02.520 --> 38:04.040]  Is that still out there in Michigan, man?
[38:04.040 --> 38:05.220]  Is that that name?
[38:05.220 --> 38:06.520]  You got the baller jar?
[38:06.520 --> 38:09.120]  See the difference between like people out here,
[38:09.120 --> 38:10.640]  like they were like baller jars,
[38:10.640 --> 38:11.880]  like when I first got out here
[38:11.880 --> 38:13.920]  and they were talking about like eighths or quarters.
[38:13.920 --> 38:15.680]  And I, you know, like, I don't know,
[38:15.680 --> 38:17.840]  in Denver a baller jar was an ounce.
[38:17.840 --> 38:18.680]  Like I don't know.
[38:19.040 --> 38:23.440]  I saw those dudes back in the day, man.
[38:23.440 --> 38:24.760]  They'd be passing that stuff out.
[38:24.760 --> 38:26.720]  Like it was crazy.
[38:27.920 --> 38:31.200]  It was really fun to, I really missed that to be honest.
[38:31.200 --> 38:33.520]  I almost felt like I was reminiscing there for a minute,
[38:33.520 --> 38:37.280]  but just hanging out with everybody where we didn't have-
[38:37.280 --> 38:40.600]  Like the mid 2000, like tens in like the Denver area
[38:40.600 --> 38:43.320]  were a really special time in canvas and in hash.
[38:43.320 --> 38:45.880]  Like a lot of people came up in that time
[38:45.880 --> 38:49.000]  and like a lot of great companies like came to fruition.
[38:49.000 --> 38:52.920]  And I think like hash just like took one big step
[38:52.920 --> 38:54.880]  in like in that decade.
[38:54.880 --> 38:56.440]  Like there was people doing it before,
[38:56.440 --> 38:58.480]  like going into 2010, you know,
[38:58.480 --> 39:01.760]  like Matt Rise and like Nickity and, you know,
[39:01.760 --> 39:03.560]  some of the really famous guys that, you know,
[39:03.560 --> 39:05.060]  have been doing it for a while.
[39:06.060 --> 39:07.400]  You know, they were doing some stuff,
[39:07.400 --> 39:09.200]  but it really didn't pick up, you know,
[39:09.200 --> 39:13.160]  on mainstream till, you know, later in the decade.
[39:13.160 --> 39:15.120]  And, you know, now, I mean, it's still,
[39:15.120 --> 39:16.920]  I feel it's still like a young thing.
[39:16.920 --> 39:21.120]  And, you know, I think the consumer base
[39:21.120 --> 39:23.800]  is just ever growing, you know, for those products.
[39:23.800 --> 39:25.600]  And it's, I think it's something
[39:25.600 --> 39:28.480]  that's gonna keep expanding as people keep, you know,
[39:28.480 --> 39:32.800]  going down the journey as a stoner, so to speak, you know,
[39:32.800 --> 39:34.120]  because stoners, they just,
[39:34.120 --> 39:36.240]  they're looking for the next level of quality.
[39:36.240 --> 39:39.200]  You know, the next level is smoke and, you know,
[39:39.200 --> 39:41.400]  that's gonna take you to solventless hash eventually.
[39:41.400 --> 39:42.640]  That's just how it works.
[39:43.640 --> 39:47.360]  You know, it's funny, Bubble Man
[39:47.360 --> 39:50.520]  really made a point years back saying that, you know,
[39:50.520 --> 39:51.800]  he smoked tons of it.
[39:51.800 --> 39:55.640]  He was a heavy consumer, but he didn't,
[39:55.640 --> 39:59.800]  it wasn't until he smoked some living soils,
[40:01.480 --> 40:04.960]  bull melt, that it really just sat him down in a chair.
[40:06.080 --> 40:08.440]  And I think, you know, what you're doing is, you know,
[40:08.440 --> 40:11.880]  again, is the beauty of where it should be coming from,
[40:11.880 --> 40:14.160]  not a synthetic, because it's just,
[40:14.160 --> 40:16.040]  the quality has gone through the roof
[40:16.040 --> 40:18.080]  because you've concentrated something
[40:18.080 --> 40:20.800]  that came from a living soil system.
[40:20.800 --> 40:23.200]  So I, you know, I can't speak highly enough about that.
[40:23.200 --> 40:25.460]  If you're gonna take the time to wash it,
[40:25.460 --> 40:27.440]  you're crazy to be growing it synthetically.
[40:27.440 --> 40:29.920]  You really need to be growing it in a living soil.
[40:29.920 --> 40:32.840]  And the other thing, you know, about that is like,
[40:32.840 --> 40:36.120]  I've seen people have great concentrates with synthetic,
[40:36.120 --> 40:39.240]  but I mean, they're not really gonna be hitting like,
[40:39.240 --> 40:40.720]  you know, the higher spectrum.
[40:40.800 --> 40:42.680]  Like some of the people will see my yields and be like,
[40:42.680 --> 40:45.000]  holy shit, your yields are so crazy.
[40:45.000 --> 40:46.440]  Like, you know, how do you do that?
[40:46.440 --> 40:49.120]  And like this and that, when it's really like, you know,
[40:49.120 --> 40:51.120]  certain people are like growing their plants
[40:51.120 --> 40:54.560]  to push like plant weight per light.
[40:54.560 --> 40:56.840]  And they're not thinking about the resin, you know?
[40:56.840 --> 41:00.640]  And like your best resin is gonna be formed on like smaller
[41:00.640 --> 41:02.760]  and more open nugs to where you can get more
[41:02.760 --> 41:06.280]  of that really high melting resin on the first pole,
[41:06.280 --> 41:08.220]  you know, because as you're, you know,
[41:08.220 --> 41:11.540]  growing these souped up nugs that are really nice
[41:11.540 --> 41:13.800]  and like big and dense,
[41:15.380 --> 41:18.100]  you're just kind of locking out the resin on the inside
[41:18.100 --> 41:21.180]  and you're gonna get, you know, some good resin
[41:21.180 --> 41:23.380]  on the outside on those synthetic gardens, you know,
[41:23.380 --> 41:24.260]  when they're done right.
[41:24.260 --> 41:26.120]  But then you're gonna have to work really hard
[41:26.120 --> 41:29.500]  to get those nugs open and get the rest of the resin,
[41:29.500 --> 41:34.500]  which is like usually a lower melt quality by quite a bit.
[41:35.500 --> 41:39.180]  And you usually have to be a, you know,
[41:39.180 --> 41:41.980]  a well-established synthetic farmer
[41:41.980 --> 41:43.380]  to start to hit those levels.
[41:43.380 --> 41:46.020]  So if someone's starting out, that's why, you know,
[41:46.020 --> 41:48.780]  we're big proponents here on the show of always trying
[41:48.780 --> 41:50.380]  to introduce newer farmers to,
[41:50.380 --> 41:52.460]  hey, use the microbial world.
[41:52.460 --> 41:55.980]  Mother nature makes it a lot easier for you to try to,
[41:55.980 --> 41:57.820]  you know, we might not fully understand everything
[41:57.820 --> 42:01.340]  that's going on, but we understand the basics enough
[42:01.340 --> 42:04.140]  when we start to farm that we can see it with our own eyes
[42:04.780 --> 42:06.380]  and then Leighton and I are huge on, you know,
[42:06.380 --> 42:08.300]  teaching everybody to trust the process.
[42:08.300 --> 42:09.460]  And that's one of the hardest things,
[42:09.460 --> 42:11.820]  especially when you're maybe making the transition
[42:11.820 --> 42:15.620]  from synthetics is because the plants relied on you so much.
[42:15.620 --> 42:16.460]  I agree.
[42:16.460 --> 42:20.280]  And I mean, it's hard getting in the,
[42:20.280 --> 42:22.220]  like using all the ends of the process
[42:22.220 --> 42:23.220]  and really trusting it.
[42:23.220 --> 42:26.020]  Cause like, I know a lot of people like that run synthetic,
[42:26.020 --> 42:28.820]  they're used to keeping like a certain level of cleanliness
[42:28.820 --> 42:31.900]  and, you know, maybe not putting something
[42:31.900 --> 42:33.780]  that smells a little funny on their plant.
[42:34.420 --> 42:38.220]  Cause it's natural and, you know, that sort of thing.
[42:38.220 --> 42:41.620]  Like people are, they're off put by the natural aspect
[42:41.620 --> 42:44.540]  of growing naturally or organically.
[42:44.540 --> 42:46.340]  Yeah. Isn't that crazy how that is?
[42:46.340 --> 42:47.180]  You know, it's like,
[42:47.180 --> 42:49.860]  Yeah, they want to see it like be like, you know,
[42:49.860 --> 42:52.100]  not natural and they want to have like, you know,
[42:52.100 --> 42:56.020]  all these like sugary smelling inputs that they're using.
[42:56.020 --> 42:59.020]  And I mean, not to say that KNF has great sugary inputs,
[42:59.020 --> 43:00.420]  but like some of the stuff that like,
[43:00.420 --> 43:03.460]  I remember smelling like on synthetic was like,
[43:04.140 --> 43:05.540]  I don't know, it was crazy smelling.
[43:06.860 --> 43:08.500]  Trust the process.
[43:09.940 --> 43:10.780]  No, but you know,
[43:10.780 --> 43:13.140]  That's what Philly fans keep telling themselves.
[43:15.140 --> 43:16.220]  You know, it's funny though,
[43:16.220 --> 43:19.860]  that once you get that living soil system up,
[43:19.860 --> 43:21.100]  then it's a lot easier.
[43:21.100 --> 43:23.860]  And that's, that's the part where, you know,
[43:23.860 --> 43:25.940]  we can't pound that home enough
[43:25.940 --> 43:29.300]  that the system will begin to balance itself.
[43:29.300 --> 43:30.860]  And that's where it's really important.
[43:30.860 --> 43:33.060]  You start with good ingredients, you know,
[43:33.660 --> 43:35.300]  good soils, you know,
[43:35.300 --> 43:39.100]  a functioning soil system that has the diversity there
[43:39.100 --> 43:41.300]  to provide that microbial foods
[43:41.300 --> 43:44.380]  for that diverse microbial inoculum.
[43:44.380 --> 43:48.340]  And if you start there, you start with good materials,
[43:48.340 --> 43:50.420]  you get yourself some really good inoculants,
[43:50.420 --> 43:51.820]  you know, you'll be off to the races.
[43:51.820 --> 43:54.720]  I mean, look at the farm in Colorado, Parachute.
[43:54.720 --> 43:55.940]  They never even grew weed.
[43:55.940 --> 43:58.220]  That was their first time growing weed.
[43:58.220 --> 43:59.420]  And they knocked it out of the park
[43:59.420 --> 44:02.260]  because again, they had Chris Trump's guidance.
[44:02.260 --> 44:04.860]  They used the Horizonal Soil System.
[44:04.860 --> 44:06.900]  They used AMO products.
[44:06.900 --> 44:08.020]  They used some of my product
[44:08.020 --> 44:09.960]  and they used all of Chris's products.
[44:09.960 --> 44:12.780]  So they created the diversity necessary
[44:12.780 --> 44:15.500]  to really get you up and running on the first run.
[44:15.500 --> 44:18.100]  And I think that's the big mistake with these,
[44:18.100 --> 44:18.980]  with these salt growers.
[44:18.980 --> 44:20.580]  They're, they're, they're scared.
[44:20.580 --> 44:22.580]  They don't understand what, what it is that,
[44:22.580 --> 44:23.760]  you know, we're talking about.
[44:23.760 --> 44:25.820]  But if they just did a little research,
[44:25.820 --> 44:28.540]  they'd realize it's just as easy as salts,
[44:28.540 --> 44:31.340]  except for you don't have to waste as much money.
[44:31.340 --> 44:33.380]  And once you get that system up and running,
[44:33.380 --> 44:34.820]  it's gonna take care of itself.
[44:34.820 --> 44:37.780]  It's not gonna, you know, you're not fighting the pH.
[44:37.780 --> 44:40.300]  You're not fighting the nutrients
[44:40.300 --> 44:42.100]  or nutrient crash or lockout.
[44:42.100 --> 44:43.700]  It's just, it's functioning.
[44:43.700 --> 44:45.980]  It takes so much of the work out of it.
[44:45.980 --> 44:47.660]  Yeah, well said.
[44:47.660 --> 44:50.340]  And the end result is undeniable.
[44:50.340 --> 44:52.100]  Yeah, I remember like just fighting
[44:52.100 --> 44:53.860]  with those blue lab pens, you know,
[44:53.860 --> 44:55.860]  I had all those problems with the blue lab pen.
[44:55.860 --> 44:58.080]  I was always trying to pH my water
[44:58.080 --> 45:00.060]  and then I'd get these big swings in the soil
[45:00.060 --> 45:01.260]  when I was running synthetic.
[45:02.180 --> 45:03.020]  And like, I don't know,
[45:03.020 --> 45:04.140]  it was a bigger headache than what it is now.
[45:04.140 --> 45:06.500]  Now I can just run like regular water.
[45:06.500 --> 45:08.300]  I run my ferments and I, like I said,
[45:08.300 --> 45:10.740]  I give that biological treatment of, you know,
[45:10.740 --> 45:14.500]  the IMO and whatnot, every growth cycle
[45:14.500 --> 45:16.180]  or twice every growth cycle.
[45:16.180 --> 45:18.420]  And, you know, it keeps my bases covered.
[45:18.420 --> 45:22.820]  And it's a whole lot easier than trying to fight
[45:22.820 --> 45:26.140]  pH-ing water or, you know,
[45:26.140 --> 45:27.980]  a lot of those things that come with synthetic,
[45:27.980 --> 45:29.240]  you know, it's, you know,
[45:29.240 --> 45:32.000]  it seems appealing to follow the directions on a bottle,
[45:32.000 --> 45:34.400]  but if you just take the leap of faith
[45:34.400 --> 45:36.120]  and, you know, get a little bit of understanding
[45:36.120 --> 45:38.000]  into the organic system, you know,
[45:38.000 --> 45:39.000]  you're gonna come out on top
[45:39.000 --> 45:40.880]  and it's gonna work out good for you.
[45:42.440 --> 45:43.880]  Thank you for pounding that home.
[45:43.880 --> 45:45.480]  That was good.
[45:45.480 --> 45:47.040]  Hopefully people are listening.
[45:48.840 --> 45:51.040]  Yeah, I mean, it's really hard pursuing it
[45:51.040 --> 45:53.800]  at the beginning, you, and they are,
[45:53.800 --> 45:56.240]  like the synthetic world's breaking it down week by week.
[45:56.240 --> 45:58.600]  So it's like, you know, week one, week two, week three.
[45:58.960 --> 46:02.000]  That seems like a better system, I will admit at first.
[46:02.920 --> 46:06.560]  And a lot of us, you know, especially the older growers,
[46:06.560 --> 46:08.320]  that is exactly how we started to grow
[46:08.320 --> 46:10.680]  because that was the only way that we were taught to grow.
[46:10.680 --> 46:12.060]  You know, there was no way that we were gonna be
[46:12.060 --> 46:12.920]  on the internet.
[46:12.920 --> 46:15.680]  There's no way we're gonna go to the library
[46:15.680 --> 46:16.500]  or something like that.
[46:16.500 --> 46:18.660]  Barnes and Noble wasn't selling cannabis books
[46:18.660 --> 46:20.240]  on the bookshelves yet.
[46:20.240 --> 46:22.360]  So basically it was a high times magazine back then
[46:22.360 --> 46:23.360]  or just with your friends.
[46:23.360 --> 46:25.400]  And that's again, where a lot of that bro science
[46:25.400 --> 46:27.080]  came from is because we were all just trying
[46:27.080 --> 46:28.960]  to figure this out together.
[46:28.960 --> 46:31.360]  But now there's a new paradigm shift,
[46:31.360 --> 46:33.520]  especially with YouTube and all of the ways
[46:33.520 --> 46:34.920]  that we can educate one another.
[46:34.920 --> 46:38.720]  And I feel like the faster that this information gets out,
[46:38.720 --> 46:41.440]  I think more and more people are going to take hold on this
[46:41.440 --> 46:44.960]  when they begin to farm because they can see down the road
[46:44.960 --> 46:46.240]  that they're gonna be able to cultivate
[46:46.240 --> 46:48.880]  the kind of cannabis that they want, you know,
[46:48.880 --> 46:50.840]  their dispensary to give them.
[46:50.840 --> 46:52.960]  But unfortunately, especially here in Colorado,
[46:52.960 --> 46:56.700]  unless you're a few brands, there's not a lot of people
[46:57.320 --> 46:58.260]  that are keeping up with the quality
[46:58.260 --> 47:00.100]  that Andrew's producing.
[47:00.100 --> 47:02.380]  And these people are, you know,
[47:02.380 --> 47:04.260]  backed by millions and millions of dollars,
[47:04.260 --> 47:06.400]  some of them tens of millions of dollars.
[47:06.400 --> 47:08.380]  So that's the other part that I really enjoy
[47:08.380 --> 47:11.780]  about our little community is I feel like the real artists
[47:11.780 --> 47:14.940]  are still here sharing with that community.
[47:14.940 --> 47:18.020]  While that big ag, big commercial,
[47:18.020 --> 47:21.300]  they really aren't able to dial it in
[47:21.300 --> 47:24.580]  as well as they should be, to be honest.
[47:24.580 --> 47:26.980]  I think it comes down to too with that, you know,
[47:26.980 --> 47:29.300]  it's like I was saying before, like, you know,
[47:29.300 --> 47:31.140]  they get a lot of this weed and it's not too bad
[47:31.140 --> 47:33.460]  when it's finishing, but then they can't figure out
