[00:00.000 --> 00:02.000]  1003
[39:06.790 --> 39:11.910]  Um, so what I do have i'm really trying to hang on to until I can increase those
[39:12.550 --> 39:13.910]  um
[39:13.910 --> 39:16.550]  So so hopefully I can can do that soon
[39:17.830 --> 39:23.990]  But that that plant that you've got pictured there peter. Uh, that's the one that I pollinated with the passion fruit
[39:24.530 --> 39:25.750]  daquini
[39:25.750 --> 39:32.070]  Uh or dakini so so we can talk about that one too and then kind of get into maybe how that's crossed
[39:32.310 --> 39:34.310]  Um, I hope i'm not just like rambling
[39:34.870 --> 39:36.150]  at you guys
[39:36.150 --> 39:36.550]  No, man
[39:36.550 --> 39:38.950]  we can't this is why you're on the show is because I
[39:39.350 --> 39:44.710]  I meant like you're living up to the higher thought like you you take this on another level than even other people that um
[39:45.350 --> 39:50.230]  I feel like really understand cannabis and I I truly do mean that I feel like you and sticky lungs are people that
[39:50.390 --> 39:56.390]  That stick out among a lot of talented people where you guys just have a nose you guys have a way of explaining things
[39:56.470 --> 39:58.150]  there's little um
[39:58.150 --> 40:02.070]  Hints, uh that it seems like you guys can pick up that other people can't
[40:02.470 --> 40:07.110]  uh, and i'm definitely one of them because when I hang out with that guy when he starts breaking down stuff i'm like
[40:07.750 --> 40:11.590]  I mean, it's just very impressive. So, uh, we want you to ramble man
[40:11.590 --> 40:15.990]  We want to kind of dive or dive deeper into this stuff and I have a bunch of different strands
[40:15.990 --> 40:17.990]  We're gonna we're gonna talk about for sure
[40:18.230 --> 40:26.070]  Right on. All right. Yeah, i'm just i'm not uh, totally i'm not conditioned to you know, just ranting at three other the other people here. So, um
[40:26.790 --> 40:28.790]  Just a little self-conscious. So
[40:30.630 --> 40:36.870]  All right, right on well, please please interrupt me if uh, if you've got any questions or you know anything to offer, um
[40:37.830 --> 40:38.710]  so
[40:38.710 --> 40:41.750]  uh, i'll get into the passion fruit though, which is um,
[40:42.790 --> 40:47.030]  uh, the the father to the cross that you were asking about brian, so
[40:47.670 --> 40:49.670]  so we had that uh
[40:50.070 --> 40:52.070]  Riptide rush female
[40:52.230 --> 40:53.190]  and
[40:53.190 --> 40:58.390]  the father that I pollinated that with um was from this passion fruit dakini, which is
[40:59.110 --> 41:00.070]  uh
[41:00.070 --> 41:02.710]  I hate to say I think I ripped the name off of bode
[41:02.950 --> 41:07.190]  Um when I was I think I like got stoned and forgot that he even made this
[41:07.590 --> 41:10.410]  Uh, he had a a strain called strawberry
[41:11.350 --> 41:14.330]  Uh dakini, I think, you know play on strawberry daiquiri
[41:15.590 --> 41:17.590]  a dakini is a
[41:18.390 --> 41:26.170]  Being from buddhist lore. It's a female entity that usually helps a bodhisattva achieve enlightenment
[41:27.030 --> 41:28.070]  um
[41:28.070 --> 41:30.070]  So I thought that that was kind of a cool
[41:30.150 --> 41:33.590]  Uh, you know name for the canvas plan. It's like this female entity that
[41:34.230 --> 41:37.830]  You know can really um open up our minds in some ways and
[41:38.470 --> 41:42.070]  um, but anyway, so I think that was bodhi's idea so I kind of uh
[41:42.710 --> 41:49.190]  Thought about changing the name and stuff. Um, but it's it's a cross of in the pines and copper chem
[41:49.990 --> 41:58.230]  um, which was interestingly enough kind of an accidental not necessarily accidental I should say incidental cross that I made um,
[41:58.630 --> 41:59.670]  I
[41:59.670 --> 42:01.670]  Was doing a copper chem pollination
[42:02.230 --> 42:07.270]  So I you know, I picked a male from that and at the time I had a much larger grow space
[42:07.350 --> 42:11.190]  I had a lot of plants. Um downtown boulder just blew up a house
[42:12.630 --> 42:14.630]  and
[42:14.630 --> 42:18.310]  I ate, you know, I I was very well connected at the time as well and uh,
[42:18.950 --> 42:25.430]  A guy in boulder had given me all the chem and sour cuts that he had it was like east coast sour chem four
[42:26.310 --> 42:27.910]  um
[42:27.970 --> 42:29.970]  lupus headband
[42:30.150 --> 42:32.150]  ghost og
[42:32.550 --> 42:35.430]  Aj sour, uh the east coast sour
[42:37.590 --> 42:42.790]  Chem three chem sister it was like, you know, almost all the chems and sours and uh
[42:42.870 --> 42:47.110]  We wanted to pollinate it with this copper chem and just have like this crazy
[42:48.230 --> 42:51.350]  You know, uh bank of sour and chem seeds
[42:53.110 --> 42:57.590]  So and at the time I just happened to have popped two packs of into pines from
[42:58.130 --> 43:01.030]  aficionado, but really mostly from mean gene
[43:02.710 --> 43:04.070]  And
[43:04.070 --> 43:08.870]  Popping those two packs, you know, I'd never paid that much for seeds before they're like 150 bucks a pack
[43:09.270 --> 43:11.590]  um, which is like mind-blowing to me and
[43:12.150 --> 43:15.990]  It's like dude, these have to be the best, you know, they've got this amazing packaging and all this
[43:15.990 --> 43:21.110]  So I was really pumped up by aficionado got these seeds. Um grew out two packs
[43:21.910 --> 43:23.910]  And pollinated every female
[43:24.550 --> 43:26.550]  with that copper chem male
[43:27.110 --> 43:30.870]  So it was mostly for the sour and chem seeds but we ended up, you know
[43:30.870 --> 43:33.990]  I ended up coming out of it with these in the pines copper chem
[43:34.550 --> 43:35.750]  and
[43:35.750 --> 43:37.750]  Again from that run
[43:37.750 --> 43:42.230]  Uh in the pines was by far my favorite thing to smoke from that run. Um
[43:43.190 --> 43:46.490]  It was you know, super euphoric super uplifting
[43:47.510 --> 43:49.510]  Very feel good very happy
[43:50.070 --> 43:54.070]  Um, you know made you laugh just like almost like smokable joy
[43:54.630 --> 43:55.590]  um
[43:55.590 --> 44:00.630]  so that was really incredible bud and it you know, it really did smell and taste like pineapple upside down cake or
[44:01.590 --> 44:05.910]  The the syrup that you get in canned pineapples. It was very intense pineapple flavor
[44:06.470 --> 44:08.470]  Um, which was really cool
[44:08.550 --> 44:10.150]  so
[44:10.150 --> 44:14.070]  I ended up, you know after that long story short just with my personal life
[44:14.150 --> 44:18.310]  I ended up going to new zealand for about a year, you know, I wasn't growing
[44:19.110 --> 44:21.110]  at all, um
[44:21.190 --> 44:27.670]  You know came back was just kind of bouncing around the states I I was just you know figuring out a lot of my life basically
[44:27.990 --> 44:29.110]  um
[44:29.110 --> 44:33.990]  And didn't grow for a while. And then when I did get back to growing that was really the first thing
[44:34.710 --> 44:40.070]  That appealed to my mind, you know, I just I remembered the in the pines remembered how awesome it was
[44:40.630 --> 44:42.070]  and wanted to
[44:42.070 --> 44:44.070]  Uh get back into it
[44:44.310 --> 44:45.110]  so
[44:45.110 --> 44:47.110]  I popped those seeds the uh
[44:47.590 --> 44:49.590]  in the pines crossed a copper chem
[44:50.470 --> 44:56.790]  And they ended up being this really bizarre mix as you might expect from two totally different strains
[44:58.310 --> 45:02.470]  But it was really incredible those were like my two favorite smokes from that big run
[45:02.790 --> 45:07.590]  And so to have crossed them like it was just it was all my favorite parts about weed. Um
[45:08.230 --> 45:11.670]  The flowers were sour. They were super dank like
[45:12.230 --> 45:17.510]  That like, you know nose crinkling funky dank smell like skunk vomit
[45:20.150 --> 45:21.190]  Just like
[45:21.190 --> 45:24.870]  acidic and skunky and funky but also
[45:25.430 --> 45:28.790]  Had these kind of hints of candy and so it was both
[45:29.350 --> 45:32.950]  Like repulsive and very attractive at the same time
[45:33.590 --> 45:34.790]  um
[45:34.790 --> 45:37.030]  and and then not to mention, you know, just uh
[45:37.670 --> 45:42.790]  Visually stunning just really beautiful tons of resin lots of purple coloring
[45:43.430 --> 45:44.310]  um
[45:44.310 --> 45:46.310]  Just nice flower formation
[45:46.630 --> 45:48.070]  um
[45:48.070 --> 45:50.070]  So that was the passion fruit
[45:50.550 --> 45:55.110]  And I liked it so much the next year. I ended up popping quite a bit more
[45:55.830 --> 45:57.670]  made some f2s
[45:57.670 --> 45:58.870]  um
[45:58.870 --> 46:00.390]  and
[46:00.390 --> 46:02.390]  With the males from that run I pollinated
[46:03.110 --> 46:04.550]  uh the
[46:04.550 --> 46:06.550]  Riptide rush as well
[46:06.790 --> 46:09.610]  So now, you know now we've got this kind of crazy combination
[46:10.310 --> 46:11.350]  of
[46:11.350 --> 46:13.350]  You know, I guess about a decade
[46:14.310 --> 46:15.590]  uh
[46:15.590 --> 46:19.510]  You know over the course of a decade of my growing experience, I guess of taking you know
[46:19.590 --> 46:23.750]  the the remedy to the chocolate rain f2 that I traded to some dude for
[46:24.550 --> 46:25.750]  and then the
[46:25.750 --> 46:27.750]  in the pines and the copper chem and
[46:28.790 --> 46:30.790]  combining those and then um
[46:31.670 --> 46:36.550]  Breeding both of those parents. So, uh, I've i've just recently seen
[46:37.350 --> 46:39.350]  Some of those crosses grown out
[46:39.830 --> 46:41.350]  that final cross
[46:41.350 --> 46:45.110]  Uh, one of my friends in missouri who grows incredible flowers
[46:45.670 --> 46:46.870]  um
[46:46.870 --> 46:48.870]  ended up growing those out and
[46:49.350 --> 46:50.550]  it uh
[46:50.550 --> 46:52.550]  really interesting you get um
[46:53.110 --> 46:58.870]  You get some plants that show up almost like remedy but with totally different turf profiles. So
[46:59.830 --> 47:06.710]  Uh, they still have that grapey fruit smell from the remedy like grapefruit and actual grapes and like bubble gum
[47:07.350 --> 47:09.750]  um, but there's so much more to it
[47:10.470 --> 47:11.350]  from
[47:11.350 --> 47:15.510]  Everything else in that mix. It's like it has some of that funk from the copper chem
[47:16.070 --> 47:20.630]  Uh, really sticky really beautiful. You break it up you roll a joint and smoke it. It tastes great
[47:21.110 --> 47:23.110]  and at the end of the joint you're like
[47:23.510 --> 47:29.430]  Should I even smoke any weed like i'm not high like you still you know, you still have the compulsion to smoke. So
[47:29.990 --> 47:35.770]  um, so those you know, those are funny plants, uh, and then on the total opposite end of the spectrum
[47:36.550 --> 47:39.270]  Um, I guess not total opposite, but we were seeing
[47:39.990 --> 47:41.270]  uh
[47:41.590 --> 47:46.950]  You know plants not only like the remedy but some that were showing up just like the riptide rush that really grapey
[47:47.670 --> 47:50.950]  Uh smell and taste and probably about a one-to-one ratio
[47:51.670 --> 47:57.830]  um, but all the color from the passion fruit zucchini and the resin and the structure is there so
[47:58.950 --> 48:01.910]  So it's a it's a really sweet combination. I think there's
[48:02.470 --> 48:05.830]  Quite a bit of hunting to be done in there depending on what you're looking for
[48:06.470 --> 48:08.470]  uh, there's just so much variation but
[48:09.030 --> 48:10.470]  Um
[48:10.470 --> 48:15.030]  definitely for anybody who enjoys that kind of, you know mix of CBD or
[48:15.670 --> 48:17.190]  um
[48:17.190 --> 48:22.550]  you know if if you're just after something unique, I mean it's uh, there there's not
[48:23.590 --> 48:25.590]  a whole lot of flowers out like this. So
[48:25.990 --> 48:27.430]  um
[48:27.430 --> 48:32.630]  Just yeah, really yeah weed light. Yeah, it says h70 below. That's exactly it. It's like
[48:33.270 --> 48:34.150]  um
[48:34.150 --> 48:39.030]  You smoke it and you're like, uh, you know again depending on the plant you might want to smoke something else or
[48:39.590 --> 48:41.590]  Or it might be your favorite flower
[48:42.150 --> 48:43.350]  so
[48:43.350 --> 48:46.390]  lots of hunting to be done lots of variation, but um
[48:48.150 --> 48:55.190]  Yeah, those are that's one of my cooler in my opinion but more obscure crosses that nobody really asks about so
[48:56.790 --> 49:02.230]  Now have you ever uh had your gear washed by someone and and they've come back and said like yo
[49:02.470 --> 49:09.430]  This is the one or anything like that, you know, I haven't um, I wash all my own stuff. Um,
[49:10.950 --> 49:16.730]  And you know most of the time there's so many strains in each run that I don't do isolated
[49:18.950 --> 49:22.310]  You know temple ball runs I do it every now and then sometimes i'll
[49:23.030 --> 49:27.830]  Fill up an area with with something. Um, but for the most part they're like blends
[49:27.990 --> 49:34.810]  So I hate to say i'm probably ignorant of what wash is great, uh things that extract fantastically
[49:35.510 --> 49:37.510]  And I just kind of speculate on that
[49:39.030 --> 49:43.750]  Right on yeah, so most of the you know, the feedback that I get from people is really just
[49:44.470 --> 49:49.270]  Friends that are smoking my flowers and then you know, i'll really kind of harass them
[49:50.230 --> 49:53.450]  About you know, what like what are you smoking the most? What are you enjoying?
[49:54.230 --> 49:56.310]  Uh, you know, what do you what are you doing?
[49:56.790 --> 50:02.310]  When you smoke this weed because I feel like a lot of times it's unconscious like you don't even know
[50:03.270 --> 50:04.550]  um
[50:04.550 --> 50:06.550]  You know, you might you might be
[50:06.950 --> 50:09.590]  Smoking, you know weed a every day
[50:10.470 --> 50:13.430]  right before you go for a walk because it happens to
[50:14.070 --> 50:17.430]  you know get you invigorated or get your mind going or whatever and
[50:17.990 --> 50:20.950]  you really like the walk and then next time you you
[50:21.430 --> 50:26.070]  Go buy a bag. It's weed b and now you're smoking it and watching a movie or something. You know what I mean?
[50:26.310 --> 50:28.310]  um, so I kind of like to
[50:28.710 --> 50:30.710]  To ask people like yeah. So what do you?
[50:31.270 --> 50:35.110]  You know, like what are you doing when you smoke this weed? What what kind of experiences are you having?
[50:35.990 --> 50:38.630]  um, i'm not sure if that that all makes sense, but
[50:39.670 --> 50:41.670]  Yeah, absolutely. And um
[50:41.670 --> 50:46.330]  Uh laden if you have a question, otherwise that he's he's reviewed so many um cultivars
[50:46.950 --> 50:49.750]  Uh, I say it different every time so I appease everyone
[50:50.150 --> 50:55.510]  Uh, you know, you know people get stuck on that shit. Uh, but you know, you had mentioned that um,
[50:55.990 --> 50:59.190]  You know, how come gorilla glue number four really didn't gg4?
[50:59.270 --> 51:02.790]  How come that didn't really take off? I feel like at least for us, you know
[51:02.870 --> 51:09.830]  It seems like now maybe a decade ago that and blue dreams were everywhere. It was 99% fake cuts
[51:10.230 --> 51:15.830]  um, and it definitely seems like jim that you have access to the real genetics and that's another thing why I want to dive deeper
[51:15.910 --> 51:20.710]  into the genetics that you not only are reviewing but it seems like again the ones you're breeding with and
[51:21.250 --> 51:23.250]  cultivating with and all of that stuff because
[51:24.130 --> 51:30.870]  As i've definitely gotten older and understanding things it really is the genetics that is going to allow you to separate yourself from the competition
[51:31.730 --> 51:33.730]  And if you can understand that from day one
[51:35.010 --> 51:38.370]  There's just a better playing field that you're going to have when you're doing your pheno hunts, you know
[51:38.450 --> 51:43.410]  I I personally thought like hey, you know, here's this guy when I first started especially at endo expo
[51:43.490 --> 51:47.010]  you'd see long lines and you'd find out the the prices for some of those packs and
[51:47.650 --> 51:52.690]  That was just too much for us back then. So we would get gear that was maybe 20 bucks 50 bucks something like that
[51:53.330 --> 51:55.330]  and then at the end of the day, you know you have
[51:55.970 --> 52:00.050]  Huge problems sometimes and granted that could have been us trying to figure things out back then
[52:00.690 --> 52:02.850]  But there was just a lot of issues that we had by not
[52:03.310 --> 52:10.710]  Focusing on genetics and focusing on more of the infrastructure of growing things and we definitely thought that the more futuristic
[52:11.010 --> 52:15.650]  So aeroponics seemed like the coolest thing to us or at least that's what we were sold on at the time
[52:16.290 --> 52:20.930]  And it really is the simplistic stuff just coming back to soil building your soil systems
[52:21.570 --> 52:24.690]  And moving forward with understanding how those systems work
[52:25.870 --> 52:30.050]  Absolutely. Um, so, you know, I could touch on a couple different points there. Um,
[52:30.930 --> 52:33.170]  when I first got into cannabis, uh
[52:34.130 --> 52:37.910]  I had actually partnered on a company called multiponics
[52:39.250 --> 52:43.670]  Which we used to manufacture high pressure aeroponic
[52:44.770 --> 52:46.290]  growing systems
[52:46.290 --> 52:47.810]  um and
[52:47.810 --> 52:51.090]  Part of the reason for that, you know, I was probably in the same boat as you brian
[52:52.210 --> 52:53.250]  before
[52:53.250 --> 52:55.250]  having any actual or
[52:55.310 --> 52:57.730]  minimal hands-on experience growing cannabis
[52:58.370 --> 52:59.410]  um
[52:59.410 --> 53:05.810]  You know, you only can speculate and after reading all the books, you know, it sounded to me like man high pressure aero. I mean
[53:06.370 --> 53:08.850]  NASA is using this technology. It's got to be
[53:09.650 --> 53:11.650]  the best way to grow
[53:12.210 --> 53:13.890]  So I was really into that
[53:13.890 --> 53:15.890]  uh for a little bit until
[53:16.770 --> 53:19.810]  You know, I grew it side by side with some organic living soil
[53:20.210 --> 53:21.010]  um
[53:21.010 --> 53:25.730]  And that totally that changed it for me. I uh, never grew aeroponics again. So
[53:26.370 --> 53:27.250]  um
[53:27.250 --> 53:33.810]  So we can get into some of that. Uh, there's a lot of detail there, you know, i'd spent years, uh doing the high pressure aero thing
[53:35.250 --> 53:39.830]  But you know you also mentioned, uh having access to genetics
[53:40.770 --> 53:43.970]  And that's something that I really can't take
[53:44.370 --> 53:49.570]  A ton of personal credit for um, it's either
[53:50.930 --> 53:58.210]  you know, it's really just been the generosity and grace of the people that I have, uh connected with or made friends with or
[53:58.770 --> 54:00.770]  or whatever out here, um
[54:01.250 --> 54:04.850]  you know, I I had gotten in with uh a guy who
[54:05.890 --> 54:11.010]  um, he owns, you know some cannabis businesses now and we we no longer really communicate but
[54:11.730 --> 54:13.890]  Uh, he happened to have
[54:14.690 --> 54:18.150]  An incredible genetic library that he had been compiling
[54:18.930 --> 54:20.930]  You know long before cannabis was legal
[54:21.410 --> 54:27.170]  And so he had you know, every clone only og every uh chem cut, you know all these
[54:28.210 --> 54:30.210]  hazes from amsterdam like
[54:30.370 --> 54:37.090]  he he had this amazing library and we connected and you know, he knew I was really into seeds and so
[54:37.810 --> 54:39.810]  I was fortunate to be
[54:39.810 --> 54:41.810]  past cuts from this guy and
[54:42.050 --> 54:43.010]  um
[54:43.010 --> 54:44.450]  and you know to be
[54:44.450 --> 54:49.570]  Most people will give you a cut one time and then they kind of expect that you're gonna keep it then
[54:50.130 --> 54:51.090]  um
[54:51.090 --> 54:56.690]  I could just do seed runs, you know and just go back to this guy and say hey get me x y and z for this run
[54:56.690 --> 54:59.410]  I'm using this mail and he'd say yeah, that sounds good
[54:59.410 --> 55:04.370]  Well, why don't you take abc too because I want those crossed your mail and i'd say great
[55:04.930 --> 55:06.930]  And that was a pretty good relationship
[55:07.010 --> 55:07.890]  um
[55:07.890 --> 55:08.690]  so
[55:08.690 --> 55:12.070]  You know, that was kind of my my in uh at the beginning
[55:13.410 --> 55:17.730]  and then making some of these crosses, you know people take notice and they want seeds and
[55:18.290 --> 55:22.450]  you can trade your seeds for their cuts and um, so it kind of snowballs and
[55:23.410 --> 55:26.210]  And so i've just been really blessed over the years, you know to know
[55:27.010 --> 55:27.890]  maybe
[55:27.890 --> 55:30.050]  three or four different people that um
[55:31.010 --> 55:35.970]  That really are the guys doing the hard work keeping these libraries around and
[55:36.850 --> 55:41.970]  um, you know if you're making seeds, I mean you can usually get in those guys good graces of
[55:42.850 --> 55:47.090]  Hooking them back up with seeds, you know and give them some seeds give them some flowers, you know
[55:47.170 --> 55:49.650]  get the cuts from those guys and um
[55:50.610 --> 55:53.250]  And you know, like you said brian. I mean a lot of this
[55:53.970 --> 55:56.770]  There's a lot of fake uh clones going around. So
[55:57.490 --> 55:59.490]  When you find somebody
[55:59.570 --> 56:02.610]  Who you know, you run their stuff and it's amazing
[56:03.330 --> 56:05.330]  And you know, it's the real deal
[56:05.970 --> 56:07.330]  um
[56:07.330 --> 56:10.930]  That's usually somebody who's you know, pretty good to be buddies with so
[56:11.490 --> 56:12.930]  um
[56:12.930 --> 56:17.730]  so i've really been blessed with you know, the people that i've connected without here and
[56:18.290 --> 56:24.050]  um, maybe that's you know something i've attracted with my kind of way of viewing cannabis, but
[56:24.610 --> 56:28.130]  um, just been really fortunate more than anything I think so
[56:29.730 --> 56:32.370]  Yeah, I think sometimes in life a little luck goes a long way
[56:32.850 --> 56:33.650]  um
[56:33.650 --> 56:35.650]  you're definitely running with solid stuff and
[56:35.890 --> 56:42.450]  uh something else that I learned um is that you know the gg4 until I actually uh started working for a brief a little
[56:42.450 --> 56:46.050]  Bit on oklahoma with cat from the gg4 crew
[56:46.770 --> 56:47.890]  uh
[56:47.890 --> 56:49.890]  I personally had grown gg
[56:50.130 --> 56:55.650]  Several, you know several different cultivars from friends and all this kind of stuff. It was from the homies homie blah blah blah
[56:55.730 --> 56:59.330]  And i'd never seen uh when we got the real cut from her
[56:59.810 --> 57:05.090]  Uh, you know the the full genetic profile the the beauty the the purpleness to it
[57:05.090 --> 57:05.650]  so, um
[57:05.650 --> 57:11.010]  Can we kind of dive into that because I feel like a lot of us still to this day even in like I like I just
[57:11.090 --> 57:17.170]  You know, I mentioned in oklahoma. It kind of reminds me of colorado, uh, you know, however many years ago where
[57:17.650 --> 57:23.250]  um, the public isn't educated enough to go like yo, no, like that's not biscotti like that's just
[57:23.570 --> 57:27.970]  Regular or like the real unique stuff that supposedly they're charging a higher price for
[57:28.530 --> 57:31.570]  Um and gg is always seems to be one of those out there
[57:32.210 --> 57:34.210]  That is a huge knockoff
[57:34.530 --> 57:39.170]  Same thing with blue dreams, you know, so, uh, let's kind of go into I know you reviewed the gg4
[57:39.810 --> 57:43.730]  It definitely seemed like it was the real cut to me from my experience of growing it
[57:43.810 --> 57:48.290]  So that's the the first review that i'd love to kind of dive deeper with you and talk about
[57:49.090 --> 57:56.530]  Sure. Yeah, that's funny. Um, you know, the gorilla glue is not particularly my favorite smoke. I think it's great. I love the aroma
[57:58.050 --> 58:00.610]  You know, it's so complex the smell. Um,
[58:01.890 --> 58:04.050]  Especially when it's grown well, um
[58:05.490 --> 58:07.810]  But yeah, you know it's interesting because
[58:08.750 --> 58:13.330]  Sometimes I've I think some of those really poor quality flowers that you get that
[58:14.130 --> 58:16.130]  You know, you don't think it's legit. Um
[58:17.410 --> 58:21.090]  Sometimes I wonder if it's really a fake clone or
[58:21.810 --> 58:27.090]  If it's the real clone and it was just grown and cured and processed really poorly
[58:27.810 --> 58:28.850]  um
[58:28.850 --> 58:31.330]  because you know, sometimes you'll get something that
[58:32.210 --> 58:38.690]  You know, like to me the best gorilla glue in the world smells it's again. It's very complex. It's like chocolate
[58:39.570 --> 58:40.850]  fuel
[58:40.850 --> 58:42.610]  um
[58:42.610 --> 58:48.370]  You know sour really funky like it's got it's got that nose crinkle kind of quality of
[58:49.090 --> 58:52.370]  You know what you might call stereotypical like dank. Um
[58:54.450 --> 58:56.130]  And
[58:56.210 --> 59:02.210]  You know and just beautiful flower obviously, you know stunning completely covered in resin extremely sticky. Um
[59:03.410 --> 59:04.450]  and
[59:04.450 --> 59:10.610]  You know, sometimes I think people do get the legit cut and then they do such a bad job of
[59:11.170 --> 59:13.250]  whether growing processing or both that
[59:13.970 --> 59:15.970]  By the time you get the flower
[59:16.370 --> 59:21.810]  It only has one of those qualities. So maybe it's or two so it's just kind of like sour and funky
[59:22.370 --> 59:27.410]  Um and it just you know, it ends up being kind of flat when you open the jar it's like oh, yeah, it smells all right
[59:28.530 --> 59:31.490]  Whereas something that's really been treated properly
[59:32.130 --> 59:34.550]  You open up the jar and it's this explosion
[59:35.170 --> 59:42.790]  Of you know sensation in your in your nose and your nostril like your uh sinuses, you know everything it's it's this whole experience
[59:43.170 --> 59:44.050]  um
[59:44.050 --> 59:48.850]  so sometimes, you know, i'm i'm not sure if it's because they they don't have the real deal cuts or
[59:49.090 --> 59:52.130]  Because it was grown poorly. I think I think it's probably both
[59:52.770 --> 59:54.050]  um
[59:54.050 --> 59:55.410]  but
[59:55.410 --> 59:57.410]  but yeah, I mean, you know people need to
[59:59.330 --> 01:00:04.690]  Label things as they got them. That's a huge pet peeve of mine when things get mixed up. So
[01:00:06.290 --> 01:00:08.450]  You know i've received some fake cuts before
[01:00:09.250 --> 01:00:10.530]  uh
[01:00:10.530 --> 01:00:13.410]  And it's always very frustrating because there's so much time
[01:00:13.970 --> 01:00:17.730]  involved obviously growing the plant and to figure out it's not the real deal, but
[01:00:18.290 --> 01:00:20.290]  um
[01:00:20.450 --> 01:00:22.850]  You know, I noticed that the uh synthetic
[01:00:23.490 --> 01:00:27.970]  Growers, um will often have a similar situation compared to you know
[01:00:28.050 --> 01:00:33.970]  The living soils people where you're just not getting those expressions. It's flat and you know, it doesn't smoke the same way
[01:00:34.130 --> 01:00:36.050]  It doesn't taste the same way
[01:00:36.050 --> 01:00:39.350]  So I think that probably is a big part of what you're you're experiencing
[01:00:40.690 --> 01:00:43.090]  Yeah, I I I agree and
[01:00:43.810 --> 01:00:47.190]  So I think brian, I don't know like there might just need to be some education
[01:00:47.810 --> 01:00:49.810]  with the cultivators of
[01:00:50.530 --> 01:00:52.790]  You know, I mean i've seen even here in colorado
[01:00:53.490 --> 01:00:57.090]  A lot of people grow really really good weed
[01:00:57.890 --> 01:01:02.130]  and then by you know, somewhere between the time the weed gets chopped and
[01:01:02.850 --> 01:01:03.890]  It goes
[01:01:03.890 --> 01:01:05.890]  into your lungs
[01:01:06.290 --> 01:01:09.090]  It's abused and mistreated and loses
[01:01:09.890 --> 01:01:12.770]  um on on every level of quality, so
[01:01:13.570 --> 01:01:20.370]  Um, I think a big part of it is processing I think a big part of it is what layton pointed out the you know
[01:01:21.010 --> 01:01:23.570]  uh synthetics versus organics and
[01:01:24.370 --> 01:01:26.530]  even more nuanced than that, I mean there's
[01:01:27.250 --> 01:01:33.890]  You know, i've smoked some synthetic flower that has really nice aroma complexes and then we've all had synthetic flower that
[01:01:34.450 --> 01:01:35.970]  um
[01:01:35.970 --> 01:01:37.970]  Really just kind of sucks. So
[01:01:38.130 --> 01:01:39.170]  um
[01:01:39.170 --> 01:01:45.430]  So there you know, there's so many variables but I do think a big part of it is is the growing and processing
[01:01:46.050 --> 01:01:48.050]  to really bring out
[01:01:48.050 --> 01:01:50.290]  Uh all those traits from from each clone
[01:01:51.890 --> 01:01:58.930]  I feel like the big commercial farms. I personally hear them say a lot. Um, you know once it once it leaves my facility
[01:01:59.010 --> 01:02:01.410]  I just I don't really worry about it anymore
[01:02:01.730 --> 01:02:05.650]  and I when I hear that on the inside I cringe because I I would feel like as
[01:02:06.130 --> 01:02:08.130]  The producer of that that's kind of like
[01:02:08.530 --> 01:02:13.730]  Your brand, you know, you're putting your name on that kind of stuff and there are a lot of commercial farmers
[01:02:13.730 --> 01:02:18.930]  Especially the bigger farm bigger scale farmers that do seed and have that mentality that once it leaves
[01:02:19.410 --> 01:02:23.490]  Uh, at least the the grow part of the operation, uh, they don't worry about it anymore
[01:02:25.330 --> 01:02:30.370]  Right, right. Yeah, I mean I you know, I if I was a producer I would probably want
[01:02:30.610 --> 01:02:33.570]  To take it all the way down to you know
[01:02:33.570 --> 01:02:39.730]  Getting it packaged with your brand on it just for that reason because I mean if you want to protect your name, um
[01:02:40.610 --> 01:02:46.290]  You know people bounce jars around they shake shake them to get the smell and you know, you're losing
[01:02:47.010 --> 01:02:49.010]  trichomes and resin and
[01:02:49.010 --> 01:02:53.090]  Um, just degrading that weed every time it's handled every time it's touched
[01:02:53.810 --> 01:02:55.970]  Every time it's moved. So, um
[01:02:56.370 --> 01:02:58.770]  So, yeah, that's a that's a big part of it for sure
[01:03:01.250 --> 01:03:06.850]  Another one that I I feel like you had a a real a review of was the skunk one skunk number one
[01:03:06.850 --> 01:03:08.850]  Can we kind of uh review that?
[01:03:09.410 --> 01:03:13.970]  Sure. Yeah, you know, I I hate to say uh, that one catches me off guard a little bit. I don't
[01:03:14.530 --> 01:03:16.930]  You know, i've smoked a number of skunk one
[01:03:17.570 --> 01:03:20.770]  Uh samples over the years. Um, i've smoked it
[01:03:21.650 --> 01:03:23.650]  I've smoked it
[01:03:24.850 --> 01:03:30.630]  By unknown growers in the states i've smoked it by known growers in the states i've smoked it in amsterdam
[01:03:31.410 --> 01:03:32.530]  um
[01:03:32.530 --> 01:03:35.650]  So I feel like i've got a pretty good feel for that strain. Um
[01:03:36.770 --> 01:03:39.330]  I'd say it's consistently really dense
[01:03:39.890 --> 01:03:42.150]  a really nice flower formation
[01:03:43.170 --> 01:03:45.170]  good resin content
[01:03:45.170 --> 01:03:46.530]  um
[01:03:46.530 --> 01:03:49.090]  You know the the aroma isn't my thing
[01:03:49.630 --> 01:03:51.170]  Exactly. It's
[01:03:51.170 --> 01:03:53.170]  To me, it's kind of that generic-y
[01:03:53.970 --> 01:03:55.970]  sort of amsterdam style
[01:03:56.290 --> 01:03:58.290]  um of like sweet
